index,start_date,lat,lon,P0.05_N1_Q0.1_V[ALL]_C13
8,1999-06-01,19.7921,-155.97781,1
15,1999-06-01,22.02062,-159.39676,1
25,1999-06-01,13.43787,144.69498,1
26,1999-06-01,7.49447,134.51651,1
44,1999-06-01,0.50879,127.73455,1
51,1999-06-01,1.64475,127.77568,1
63,1999-06-01,1.38789,124.67474,1
92,1999-06-01,7.53741,126.0148,1
94,1999-06-01,6.31557,125.51804,1
106,1999-06-01,6.24418,125.28251,1
124,1999-06-01,9.26697,126.10414,1
128,1999-06-01,8.30486,125.69794,1
176,1999-06-01,7.60183,124.78174,1
192,1999-06-01,7.27848,124.44703,1
227,1999-06-01,11.35272,125.26888,1
253,1999-06-01,10.96985,124.67274,1
293,1999-06-01,10.49636,123.83673,1
327,1999-06-01,35.81877,140.25781,1
329,1999-06-01,12.67306,124.09038,1
337,1999-06-01,9.5061,122.81908,1
339,1999-06-01,7.49715,122.07787,1
367,1999-06-01,36.04387,139.74905,1
372,1999-06-01,35.21725,138.81407,0
382,1999-06-01,36.88592,140.35582,0
444,1999-06-01,35.78761,138.32538,2
461,1999-06-01,38.42358,141.05695,0
511,1999-06-01,37.00134,138.93289,2
522,1999-06-01,35.13641,136.90338,1
530,1999-06-01,13.78602,123.03152,1
538,1999-06-01,39.28292,141.34019,0
588,1999-06-01,37.87544,139.17609,0
608,1999-06-01,34.44735,135.51308,1
632,1999-06-01,36.03784,136.75699,0
655,1999-06-01,37.92265,138.45175,1
706,1999-06-01,12.60761,121.48939,1
713,1999-06-01,46.00672,150.06848,1
740,1999-06-01,33.52048,133.31532,0
756,1999-06-01,1.49746,117.72092,1
759,1999-06-01,0.6578,117.49719,1
762,1999-06-01,52.17063,-174.4278,1
820,1999-06-01,43.35999,144.09824,0
850,1999-06-01,14.52513,121.59544,1
866,1999-06-01,1.22952,117.28571,1
883,1999-06-01,35.33894,133.95837,0
931,1999-06-01,43.31792,143.07321,0
943,1999-06-01,34.40434,132.77769,0
996,1999-06-01,42.91513,142.00127,0
1011,1999-06-01,33.24908,131.47597,0
1016,1999-06-01,32.28132,130.70261,0
1017,1999-06-01,32.08588,130.5508,0
1031,1999-06-01,14.48161,120.93219,1
1078,1999-06-01,34.5609,132.25739,0
1169,1999-06-01,15.26165,120.80451,1
1170,1999-06-01,15.0177,120.70968,1
1175,1999-06-01,5.51838,117.53989,1
1193,1999-06-01,0.52875,116.20695,1
1204,1999-06-01,43.64613,141.69801,0
1216,1999-06-01,33.56145,130.78229,1
1255,1999-06-01,2.08136,116.41982,3
1267,1999-06-01,44.14153,141.97276,0
1268,1999-06-01,43.99032,141.74557,0
1269,1999-06-01,43.83827,141.51981,1
1279,1999-06-01,32.74992,129.83569,1
1280,1999-06-01,18.19647,121.55713,1
1305,1999-06-01,4.43797,116.86192,1
1342,1999-06-01,15.93757,120.4181,1
1350,1999-06-01,5.66632,117.0156,1
1353,1999-06-01,4.84999,116.78857,1
1436,1999-06-01,17.19238,120.47517,1
