index,start_date,lat,lon,fw_fw_06_swe_-2,swe_swe_average_-2,clusteringLabel
8,2003-03-01,19.7921,-155.97781,15,0,7
15,2003-03-01,22.02062,-159.39676,27,0,15
25,2003-03-01,13.43787,144.69498,17,0,7
26,2003-03-01,7.49447,134.51651,16,0,7
44,2003-03-01,0.50879,127.73455,12,0,1
51,2003-03-01,1.64475,127.77568,13,0,7
63,2003-03-01,1.38789,124.67474,44,0,4
92,2003-03-01,7.53741,126.0148,18,0,7
94,2003-03-01,6.31557,125.51804,15,0,7
106,2003-03-01,6.24418,125.28251,13,0,7
124,2003-03-01,9.26697,126.10414,23,0,7
128,2003-03-01,8.30486,125.69794,6,0,1
176,2003-03-01,7.60183,124.78174,0,0,0
192,2003-03-01,7.27848,124.44703,30,0,4
227,2003-03-01,11.35272,125.26888,17,0,7
253,2003-03-01,10.96985,124.67274,28,0,4
293,2003-03-01,10.49636,123.83673,19,0,7
327,2003-03-01,35.81877,140.25781,19,0,7
329,2003-03-01,12.67306,124.09038,2,0,0
337,2003-03-01,9.5061,122.81908,15,0,7
339,2003-03-01,7.49715,122.07787,9,0,1
367,2003-03-01,36.04387,139.74905,16,0,7
372,2003-03-01,35.21725,138.81407,19,0,7
382,2003-03-01,36.88592,140.35582,20,0,7
444,2003-03-01,35.78761,138.32538,0,0,0
461,2003-03-01,38.42358,141.05695,5,0,1
511,2003-03-01,37.00134,138.93289,11,0,1
522,2003-03-01,35.13641,136.90338,7,0,1
530,2003-03-01,13.78602,123.03152,21,0,7
538,2003-03-01,39.28292,141.34019,11,0,1
588,2003-03-01,37.87544,139.17609,21,0,7
608,2003-03-01,34.44735,135.51308,15,0,7
632,2003-03-01,36.03784,136.75699,8,0,1
655,2003-03-01,37.92265,138.45175,13,0,7
706,2003-03-01,12.60761,121.48939,3,0,0
713,2003-03-01,46.00672,150.06848,12,0,1
740,2003-03-01,33.52048,133.31532,12,0,1
756,2003-03-01,1.49746,117.72092,0,0,0
759,2003-03-01,0.6578,117.49719,21,0,7
762,2003-03-01,52.17063,-174.4278,8,0,1
820,2003-03-01,43.35999,144.09824,7,0,1
850,2003-03-01,14.52513,121.59544,21,0,7
866,2003-03-01,1.22952,117.28571,0,0,0
883,2003-03-01,35.33894,133.95837,41,0,4
931,2003-03-01,43.31792,143.07321,18,0,7
943,2003-03-01,34.40434,132.77769,3,0,0
996,2003-03-01,42.91513,142.00127,1,0,0
1011,2003-03-01,33.24908,131.47597,37,0,4
1016,2003-03-01,32.28132,130.70261,41,0,4
1017,2003-03-01,32.08588,130.5508,7,0,1
1031,2003-03-01,14.48161,120.93219,12,0,1
1078,2003-03-01,34.5609,132.25739,17,0,7
1169,2003-03-01,15.26165,120.80451,21,0,7
1170,2003-03-01,15.0177,120.70968,10,0,1
1175,2003-03-01,5.51838,117.53989,1,0,0
1193,2003-03-01,0.52875,116.20695,0,0,0
1204,2003-03-01,43.64613,141.69801,0,0,0
1216,2003-03-01,33.56145,130.78229,48,0,6
1255,2003-03-01,2.08136,116.41982,0,0,0
1267,2003-03-01,44.14153,141.97276,5,0,1
1268,2003-03-01,43.99032,141.74557,5,0,1
1269,2003-03-01,43.83827,141.51981,14,0,7
1279,2003-03-01,32.74992,129.83569,6,0,1
1280,2003-03-01,18.19647,121.55713,42,0,4
1305,2003-03-01,4.43797,116.86192,0,0,0
1342,2003-03-01,15.93757,120.4181,17,0,7
1350,2003-03-01,5.66632,117.0156,0,0,0
1353,2003-03-01,4.84999,116.78857,0,0,0
1436,2003-03-01,17.19238,120.47517,19,0,7
1455,2003-03-01,2.9119,115.90651,0,0,0
1458,2003-03-01,2.06893,115.6937,0,0,0
1471,2003-03-01,52.13594,157.16635,0,4,2
1481,2003-03-01,16.3628,119.93151,26,0,15
1491,2003-03-01,4.98619,116.26664,0,0,0
1497,2003-03-01,3.32672,115.83053,0,0,0
1517,2003-03-01,6.21206,116.41408,32,0,4
1518,2003-03-01,5.94046,116.33918,23,0,7
1539,2003-03-01,0.05333,114.85311,0,0,0
1553,2003-03-01,34.51621,129.34052,9,0,1
1575,2003-03-01,0.18682,114.70823,0,0,0
1594,2003-03-01,5.3883,115.81613,16,0,7
1619,2003-03-01,53.72513,159.27444,0,0,0
1621,2003-03-01,53.55458,158.60019,0,0,0
1634,2003-03-01,5.52061,115.66519,37,0,4
1690,2003-03-01,1.44555,114.47068,0,0,0
1696,2003-03-01,55.01861,-162.86971,10,0,1
1715,2003-03-01,47.4069,142.26111,3,0,0
1739,2003-03-01,0.42231,114.05996,0,0,0
1745,2003-03-01,54.87653,160.9744,2,0,0
1768,2003-03-01,35.31393,128.39154,7,0,1
1778,2003-03-01,22.81218,121.03363,2,0,0
1791,2003-03-01,2.27619,114.30933,0,0,0
1839,2003-03-01,23.41442,121.0694,11,0,1
1878,2003-03-01,54.38238,156.89819,0,9,2
1902,2003-03-01,25.15822,121.64882,25,0,15
1910,2003-03-01,23.32166,120.7879,2,0,0
1927,2003-03-01,0.80682,113.62019,0,0,0
1956,2003-03-01,43.8063,135.40634,0,0,0
1969,2003-03-01,35.38189,127.50867,1,0,0
1978,2003-03-01,24.3831,121.03511,5,0,1
1990,2003-03-01,3.22677,113.99581,0,0,0
1994,2003-03-01,2.08668,113.73166,0,0,0
2046,2003-03-01,43.98046,135.2039,1,0,0
2067,2003-03-01,34.52052,126.57931,1,0,0
2098,2003-03-01,56.36885,162.18111,0,9,2
2109,2003-03-01,55.48936,158.19859,0,0,0
2124,2003-03-01,49.14205,142.09669,15,0,7
2144,2003-03-01,43.45583,134.19307,0,0,0
2150,2003-03-01,37.48376,128.50066,0,0,0
2173,2003-03-01,3.19346,113.62938,0,0,0
2192,2003-03-01,56.51969,161.6888,0,10,2
2212,2003-03-01,50.06173,143.19611,0,17,3
2241,2003-03-01,43.44973,133.7897,0,0,0
2245,2003-03-01,38.03292,128.61963,12,0,1
2252,2003-03-01,36.64677,127.52267,0,0,0
2271,2003-03-01,1.01661,112.96629,0,0,0
2290,2003-03-01,56.18672,158.99031,0,0,0
2310,2003-03-01,47.82862,138.99091,0,0,0
2312,2003-03-01,47.50988,138.52145,5,0,1
2316,2003-03-01,46.86256,137.60257,0,0,0
