index,start_date,lat,lon,fw_fw_06_swe_-2,swe_swe_average_-2,clusteringLabel
2397,2006-06-01,48.48409,139.50218,8,255,1
2452,2006-06-01,0.67776,112.54585,7,255,1
2465,2006-06-01,56.95632,160.1862,0,255,0
2476,2006-06-01,55.99356,156.19406,21,255,3
2488,2006-06-01,48.50953,139.05356,0,255,0
2517,2006-06-01,43.59712,132.77408,46,255,6
2527,2006-06-01,37.30514,127.07307,3,255,0
2538,2006-06-01,1.67314,112.58253,0,255,0
2546,2006-06-01,56.84506,-158.5654,6,255,1
2554,2006-06-01,57.25682,160.42688,0,255,0
2573,2006-06-01,49.4733,140.06943,11,255,2
2575,2006-06-01,49.16307,139.57393,0,255,0
2639,2006-06-01,0.33184,112.12796,0,255,0
2640,2006-06-01,0.03692,112.0679,0,255,0
2667,2006-06-01,49.65724,139.85962,0,255,0
2685,2006-06-01,46.73494,135.64861,0,255,0
2719,2006-06-01,37.80805,126.81865,29,255,4
2736,2006-06-01,2.77958,112.46902,16,255,2
2749,2006-06-01,57.28225,-158.2729,21,255,3
2784,2006-06-01,48.07958,137.00565,0,255,0
2808,2006-06-01,43.91148,131.94441,0,255,0
2811,2006-06-01,43.36183,131.37343,7,255,1
2825,2006-06-01,40.52645,128.70187,5,255,1
2835,2006-06-01,37.75643,126.46028,8,255,1
2886,2006-06-01,51.68448,142.30576,27,255,4
2898,2006-06-01,49.0716,137.96486,0,255,0
2915,2006-06-01,46.21782,134.1449,0,255,0
2922,2006-06-01,44.43891,132.11703,33,255,5
2928,2006-06-01,43.33865,130.97174,14,255,2
3016,2006-06-01,51.72598,141.82346,0,255,0
3053,2006-06-01,44.6025,131.90038,27,255,4
3056,2006-06-01,44.05385,131.32176,0,255,0
3063,2006-06-01,42.75064,130.02165,15,255,2
3098,2006-06-01,28.60737,120.32001,0,255,0
3111,2006-06-01,25.62113,118.9313,7,255,1
3115,2006-06-01,24.68437,118.52711,9,255,1
3128,2006-06-01,57.56972,-156.3244,0,255,0
3142,2006-06-01,58.27789,159.34741,30,255,5
3145,2006-06-01,58.02325,158.19859,22,255,3
3184,2006-06-01,46.55471,133.70784,0,255,0
3205,2006-06-01,42.33892,129.26978,0,255,0
3284,2006-06-01,58.8939,161.16624,6,255,1
3316,2006-06-01,48.94653,136.36392,0,255,0
3328,2006-06-01,46.8976,133.69804,0,255,0
3337,2006-06-01,45.29175,131.85504,13,255,2
3364,2006-06-01,40.15583,127.03039,0,255,0
3376,2006-06-01,31.99589,121.56181,27,255,4
3410,2006-06-01,24.22885,117.86489,31,255,5
3426,2006-06-01,57.99897,-155.99599,16,255,2
3429,2006-06-01,58.27873,-157.12633,5,255,1
3438,2006-06-01,59.26415,-161.83405,29,255,4
3447,2006-06-01,59.47566,163.05467,6,255,1
3511,2006-06-01,43.60019,129.7323,0,255,0
3513,2006-06-01,43.22169,129.36932,0,255,0
3520,2006-06-01,41.87743,128.14169,0,255,0
3548,2006-06-01,30.35429,120.41958,27,255,4
3556,2006-06-01,28.54525,119.52599,0,255,0
3582,2006-06-01,1.14835,111.08376,7,255,1
3607,2006-06-01,60.24942,-166.7092,20,255,3
3627,2006-06-01,53.20886,142.3443,5,255,1
3637,2006-06-01,51.39855,139.1028,10,255,2
3653,2006-06-01,48.78809,135.22647,0,255,0
3666,2006-06-01,46.5199,132.41698,0,255,0
3670,2006-06-01,45.79769,131.60866,0,255,0
3684,2006-06-01,43.1864,128.96999,0,255,0
3720,2006-06-01,30.03566,119.99667,29,255,4
3722,2006-06-01,29.58385,119.77267,22,255,3
3724,2006-06-01,29.12998,119.55169,19,255,3
3733,2006-06-01,27.0622,118.59323,0,255,0
3799,2006-06-01,60.18514,164.47589,0,255,0
3821,2006-06-01,51.4213,138.62149,0,255,0
3909,2006-06-01,27.18826,118.40331,4,255,1
3910,2006-06-01,26.95568,118.30076,8,255,1
3920,2006-06-01,24.60143,117.31153,5,255,1
3928,2006-06-01,0.48617,110.61225,6,255,1
3950,2006-06-01,59.85411,-161.01678,10,255,2
3965,2006-06-01,61.1217,170.46336,0,255,0
4037,2006-06-01,45.00941,129.99417,0,255,0
4070,2006-06-01,31.641,120.28972,0,255,0
4095,2006-06-01,25.43634,117.41451,0,255,0
4102,2006-06-01,23.76671,116.74958,5,255,1
4117,2006-06-01,58.85272,-155.31282,20,255,3
4147,2006-06-01,61.35118,170.38788,0,255,0
4174,2006-06-01,52.40771,139.20898,0,255,0
4180,2006-06-01,51.4583,137.65739,0,255,0
4220,2006-06-01,44.41097,129.0233,0,255,0
4235,2006-06-01,41.49323,126.43085,1,255,0
4247,2006-06-01,32.65979,120.56084,14,255,2
4249,2006-06-01,32.2163,120.32361,0,255,0
4296,2006-06-01,58.23322,-152.14555,15,255,2
4335,2006-06-01,61.4986,169.40848,0,255,0
