index,start_date,lat,lon,ft_frozen,ft_thawed,ft_trans,ft_itrans,fw_fw_06_swe_-3,fw_fw_06_swe_-2,fw_fw_06_swe_-1,fw_fw_06_swe_+1,fw_fw_06_swe_+2,swe_swe_average_-3,swe_swe_average_-2,swe_swe_average_-1,swe_swe_average_+1,swe_swe_average_+2,energy_sw_up_-3,energy_sw_up_-2,energy_sw_up_-1,energy_sw_up_+1,energy_sw_up_+2,energy_sw_dn_-3,energy_sw_dn_-2,energy_sw_dn_-1,energy_sw_dn_+1,energy_sw_dn_+2,energy_lw_up_-3,energy_lw_up_-2,energy_lw_up_-1,energy_lw_up_+1,energy_lw_up_+2,energy_lw_dn_-3,energy_lw_dn_-2,energy_lw_dn_-1,energy_lw_dn_+1,energy_lw_dn_+2,[ALL]_Q0.1
7,2002-06-01,19.6795,-155.79903,0,0,0,0,0,22,50,9,2,0,0,0,0,0,0,5,79,3,5,0,0,92,0,0,0,0,92,0,0,0,0,92,0,0,1
14,2002-06-01,21.32913,-158.08727,0,0,0,0,1,14,64,13,0,0,0,0,0,0,0,0,90,2,0,0,0,92,0,0,0,0,92,0,0,0,0,92,0,0,1
17,2002-06-01,19.83736,-155.10158,0,0,0,0,3,23,49,16,1,0,0,0,0,0,0,1,82,5,4,0,0,92,0,0,0,0,92,0,0,0,0,92,0,0,1
25,2002-06-01,13.43787,144.69498,0,0,0,0,3,18,66,5,0,0,0,0,0,0,0,0,88,4,0,0,0,92,0,0,0,0,92,0,0,0,0,92,0,0,1
26,2002-06-01,7.49447,134.51651,0,0,0,0,1,9,76,0,0,0,0,0,0,0,0,0,83,3,3,0,0,92,0,0,0,0,92,0,0,0,0,92,0,0,1
34,2002-06-01,0.61878,128.18423,0,0,0,0,2,12,42,18,18,0,0,0,0,0,0,0,58,34,0,0,2,90,0,0,0,0,92,0,0,0,0,92,0,0,1
41,2002-06-01,2.48924,128.53255,0,0,0,0,0,4,87,1,0,0,0,0,0,0,0,4,88,0,0,0,0,92,0,0,0,0,92,0,0,0,0,92,0,0,1
75,2002-06-01,7.18326,126.29048,0,0,0,0,13,14,49,16,0,0,0,0,0,0,0,0,64,28,0,0,0,92,0,0,0,0,92,0,0,0,0,92,0,0,1
83,2002-06-01,7.11801,126.05241,0,0,0,0,0,0,44,38,10,0,0,0,0,0,0,0,64,28,0,0,0,92,0,0,0,0,92,0,0,0,0,92,0,0,1
84,2002-06-01,6.13935,125.65533,0,0,0,0,3,7,57,16,8,0,0,0,0,0,0,0,69,16,7,0,0,92,0,0,0,0,92,0,0,0,0,92,0,0,1
91,2002-06-01,7.77949,126.1156,0,0,0,0,0,6,86,0,0,0,0,0,0,0,0,0,39,53,0,0,0,92,0,0,0,0,92,0,0,0,0,92,0,0,1
112,2002-06-01,8.13055,125.83765,0,0,0,0,0,12,74,2,0,0,0,0,0,0,0,0,31,61,0,0,0,92,0,0,0,0,92,0,0,0,0,92,0,0,8
137,2002-06-01,6.09609,124.81245,0,0,0,0,0,10,45,36,1,0,0,0,0,0,0,0,71,21,0,0,1,91,0,0,0,0,92,0,0,0,0,92,0,0,1
142,2002-06-01,8.47834,125.55775,0,0,0,0,0,1,91,0,0,0,0,0,0,0,0,0,68,24,0,0,2,90,0,0,0,0,92,0,0,0,0,92,0,0,1
152,2002-06-01,6.01938,124.57794,0,0,0,0,0,8,56,20,2,0,0,0,0,0,0,2,83,7,0,0,0,92,0,0,0,0,92,0,0,0,0,92,0,0,1
153,2002-06-01,0.86404,122.75452,0,0,0,0,21,33,38,0,0,0,0,0,0,0,0,0,70,22,0,0,1,91,0,0,0,0,92,0,0,0,0,92,0,0,1
183,2002-06-01,0.67067,122.31132,0,0,0,0,0,17,59,9,7,0,0,0,0,0,0,0,63,28,1,0,4,88,0,0,0,0,92,0,0,0,0,92,0,0,1
185,2002-06-01,9.71795,125.43605,0,0,0,0,8,21,47,16,0,0,0,0,0,0,0,1,87,4,0,0,0,92,0,0,0,0,92,0,0,0,0,92,0,0,1
190,2002-06-01,7.77233,124.64095,0,0,0,0,0,23,53,11,4,0,0,0,0,0,0,0,78,14,0,0,0,92,0,0,0,0,92,0,0,0,0,92,0,0,1
191,2002-06-01,7.52578,124.54375,0,0,0,0,0,10,82,0,0,0,0,0,0,0,0,0,61,31,0,0,0,92,0,0,0,0,92,0,0,0,0,92,0,0,1
209,2002-06-01,0.73941,121.95436,0,0,0,0,0,12,64,15,1,0,0,0,0,0,0,0,70,21,1,0,2,90,0,0,0,0,92,0,0,0,0,92,0,0,1
