index,start_date,lat,lon,ft_frozen,ft_thawed,ft_trans,ft_itrans,fw_fw_06_swe_-3,fw_fw_06_swe_-2,fw_fw_06_swe_-1,fw_fw_06_swe_+1,fw_fw_06_swe_+2,swe_swe_average_-3,swe_swe_average_-2,swe_swe_average_-1,swe_swe_average_+1,swe_swe_average_+2,energy_sw_up_-3,energy_sw_up_-2,energy_sw_up_-1,energy_sw_up_+1,energy_sw_up_+2,energy_sw_dn_-3,energy_sw_dn_-2,energy_sw_dn_-1,energy_sw_dn_+1,energy_sw_dn_+2,energy_lw_up_-3,energy_lw_up_-2,energy_lw_up_-1,energy_lw_up_+1,energy_lw_up_+2,energy_lw_dn_-3,energy_lw_dn_-2,energy_lw_dn_-1,energy_lw_dn_+1,energy_lw_dn_+2,V[ALL]_Q0.1_C6
7,1995-12-01,19.6795,-155.79903,0,0,0,0,0,15,69,6,0,0,0,0,0,0,0,1,90,0,0,0,0,88,3,0,0,0,91,0,0,0,0,91,0,0,0
14,1995-12-01,21.32913,-158.08727,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,18,73,0,0,0,0,85,6,0,0,0,91,0,0,0,0,91,0,0,0
17,1995-12-01,19.83736,-155.10158,0,0,0,0,0,1,76,14,0,0,0,0,0,0,0,7,84,0,0,0,0,87,4,0,0,0,91,0,0,0,0,91,0,0,0
25,1995-12-01,13.43787,144.69498,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,91,0,0,0,0,91,0,0,0,0,91,0,0,0,0,91,0,0,0
26,1995-12-01,7.49447,134.51651,0,0,0,0,0,0,89,0,0,0,0,0,0,0,0,1,90,0,0,0,0,91,0,0,0,0,91,0,0,0,0,91,0,0,0
34,1995-12-01,0.61878,128.18423,0,0,0,0,0,0,70,20,0,0,0,0,0,0,0,0,65,26,0,0,0,91,0,0,0,0,91,0,0,0,0,91,0,0,0
41,1995-12-01,2.48924,128.53255,0,0,0,0,0,3,88,0,0,0,0,0,0,0,0,0,91,0,0,0,0,91,0,0,0,0,91,0,0,0,0,91,0,0,0
75,1995-12-01,7.18326,126.29048,0,0,0,0,0,3,60,28,0,0,0,0,0,0,0,0,48,43,0,0,3,85,3,0,0,0,91,0,0,0,0,91,0,0,0
83,1995-12-01,7.11801,126.05241,0,0,0,0,0,24,48,7,11,0,0,0,0,0,0,0,39,52,0,0,3,84,4,0,0,0,91,0,0,0,0,91,0,0,0
84,1995-12-01,6.13935,125.65533,0,0,0,0,2,9,76,4,0,0,0,0,0,0,0,0,54,37,0,0,0,91,0,0,0,0,91,0,0,0,0,91,0,0,0
91,1995-12-01,7.77949,126.1156,0,0,0,0,0,20,71,0,0,0,0,0,0,0,0,0,37,54,0,0,2,84,5,0,0,0,91,0,0,0,0,91,0,0,0
112,1995-12-01,8.13055,125.83765,0,0,0,0,0,31,59,1,0,0,0,0,0,0,0,0,34,57,0,0,5,81,5,0,0,0,91,0,0,0,0,91,0,0,0
137,1995-12-01,6.09609,124.81245,0,0,0,0,1,13,75,2,0,0,0,0,0,0,0,0,75,16,0,0,0,91,0,0,0,0,91,0,0,0,0,91,0,0,0
142,1995-12-01,8.47834,125.55775,0,0,0,0,0,11,69,1,0,0,0,0,0,0,0,0,44,47,0,0,7,84,0,0,0,0,91,0,0,0,0,91,0,0,0
