Days
15
0
0
11
2
24
18
20
3
0
0
23
0
8
28
0
15
2
7
7
35
0
0
0
0
0
0
0
0
0
1
0
2
0
4
2
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
1
0
0
0
0
0
0
1
0
0
