index,start_date,lat,lon,ft_frozen,ft_thawed,ft_trans,ft_itrans,fw_fw_06_swe_minus3,fw_fw_06_swe_minus2,fw_fw_06_swe_minus1,fw_fw_06_swe_plus1,fw_fw_06_swe_plus2,swe_swe_average_minus3,swe_swe_average_minus2,swe_swe_average_minus1,swe_swe_average_plus1,swe_swe_average_plus2,energy_sw_up_minus3,energy_sw_up_minus2,energy_sw_up_minus1,energy_sw_up_plus1,energy_sw_up_plus2,energy_sw_dn_minus3,energy_sw_dn_minus2,energy_sw_dn_minus1,energy_sw_dn_plus1,energy_sw_dn_plus2,energy_lw_up_minus3,energy_lw_up_minus2,energy_lw_up_minus1,energy_lw_up_plus1,energy_lw_up_plus2,energy_lw_dn_minus3,energy_lw_dn_minus2,energy_lw_dn_minus1,energy_lw_dn_plus1,energy_lw_dn_plus2,clusterLabel
7,12/1/91,19.6795,-155.79903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,44,21,0,3,88,0,0,0,0,91,0,0,0,0,91,0,0,4
14,12/1/91,21.32913,-158.08727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,17,26,38,0,0,87,4,0,0,0,91,0,0,0,0,91,0,0,4
17,12/1/91,19.83736,-155.10158,0,0,0,0,0,3,47,7,0,0,0,0,0,0,0,3,39,33,14,0,1,90,0,0,0,0,91,0,0,0,0,91,0,0,4
25,12/1/91,13.43787,144.69498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,0,0,0,0,91,0,0,0,0,91,0,0,0,0,91,0,0,4
26,12/1/91,7.49447,134.51651,0,0,0,0,0,0,51,8,0,0,0,0,0,0,0,0,91,0,0,0,0,91,0,0,0,0,91,0,0,0,0,91,0,0,4
34,12/1/91,0.61878,128.18423,0,0,0,0,0,5,40,2,8,0,0,0,0,0,0,0,91,0,0,0,0,91,0,0,0,0,91,0,0,0,0,91,0,0,4
41,12/1/91,2.48924,128.53255,0,0,0,0,0,1,41,14,0,0,0,0,0,0,0,0,73,18,0,0,0,91,0,0,0,0,91,0,0,0,0,91,0,0,4
75,12/1/91,7.18326,126.29048,0,0,0,0,0,13,44,0,0,0,0,0,0,0,0,0,91,0,0,0,0,85,6,0,0,0,91,0,0,0,0,91,0,0,4
83,12/1/91,7.11801,126.05241,0,0,0,0,1,19,22,7,8,0,0,0,0,0,0,0,91,0,0,0,0,85,6,0,0,0,91,0,0,0,0,91,0,0,4
84,12/1/91,6.13935,125.65533,0,0,0,0,0,0,47,9,0,0,0,0,0,0,0,0,91,0,0,0,0,88,3,0,0,0,91,0,0,0,0,91,0,0,4
91,12/1/91,7.77949,126.1156,0,0,0,0,0,8,49,0,0,0,0,0,0,0,0,2,89,0,0,0,2,87,2,0,0,0,91,0,0,0,0,91,0,0,4
112,12/1/91,8.13055,125.83765,0,0,0,0,0,43,13,0,0,0,0,0,0,0,0,4,87,0,0,0,1,88,2,0,0,0,91,0,0,0,0,91,0,0,4
137,12/1/91,6.09609,124.81245,0,0,0,0,0,0,28,19,9,0,0,0,0,0,0,0,91,0,0,0,0,91,0,0,0,0,91,0,0,0,0,91,0,0,4
142,12/1/91,8.47834,125.55775,0,0,0,0,0,39,17,0,0,0,0,0,0,0,0,0,91,0,0,0,1,88,2,0,0,0,91,0,0,0,0,91,0,0,4
152,12/1/91,6.01938,124.57794,0,0,0,0,0,5,51,1,0,0,0,0,0,0,0,0,91,0,0,0,0,91,0,0,0,0,91,0,0,0,0,91,0,0,4
153,12/1/91,0.86404,122.75452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,0,0,0,0,91,0,0,0,0,91,0,0,0,0,91,0,0,4
