indicator,average
0,31.0
1,8.37
2,10.37
3,0.23
4,0.06
5,2.04
6,25.4
7,5.32
8,1.45
9,0.1
10,3.3
11,22.79
12,3.76
13,0.69
14,0.01
15,3.91
16,75.12
17,8.31
18,2.11
19,0.0
20,0.36
21,83.28
22,6.26
23,0.0
24,0.0
25,0.19
26,88.91
27,0.9
28,0.0
29,0.0
30,0.99
31,87.35
32,1.66
33,0.0
