indicator,average
0,13.48
1,26.18
2,11.25
3,0.16
4,0.14
5,3.86
6,36.13
7,5.58
8,1.46
9,0.18
10,2.09
11,15.79
12,5.02
13,0.88
14,1.19
15,17.16
16,61.82
17,9.97
18,1.57
19,0.77
20,13.91
21,60.47
22,16.7
23,0.11
24,0.87
25,16.31
26,63.47
27,10.49
28,0.8
29,1.5
30,16.59
31,61.55
32,11.33
33,0.94
