indicator,average
0,8.25
1,29.9
2,12.16
3,0.21
4,0.32
5,3.42
6,35.48
7,6.63
8,2.32
9,0.0
10,0.06
11,5.65
12,1.54
13,0.5
14,0.0
15,5.57
16,72.37
17,10.98
18,1.74
19,0.0
20,5.6
21,72.37
22,12.59
23,0.43
24,0.0
25,0.33
26,84.41
27,6.23
28,0.03
29,0.0
30,0.98
31,84.78
32,5.21
33,0.03
