indicator,average
0,12.89
1,27.16
2,10.87
3,0.16
4,0.22
5,3.54
6,34.52
7,6.43
8,1.82
9,0.12
10,1.38
11,15.28
12,3.93
13,1.03
14,0.63
15,10.71
16,68.39
17,10.64
18,1.27
19,0.84
20,14.13
21,60.45
22,16.43
23,0.1
24,0.71
25,14.42
26,63.72
27,11.73
28,1.29
29,1.29
30,14.03
31,62.52
32,12.73
33,1.25
