indicator,average
0,7.17
1,32.39
2,10.75
3,0.2
4,0.35
5,3.88
6,37.65
7,5.52
8,1.7
9,0.0
10,0.08
11,4.94
12,1.76
13,0.39
14,0.06
15,6.24
16,73.56
17,9.07
18,1.76
19,0.0
20,6.07
21,72.34
22,12.1
23,0.47
24,0.0
25,1.17
26,86.45
27,3.37
28,0.0
29,0.0
30,1.79
31,83.83
32,5.37
33,0.0
