indicator,average
0,29.75
1,8.8
2,11.14
3,0.28
4,0.1
5,2.7
6,27.44
7,3.93
8,1.07
9,0.05
10,1.9
11,23.33
12,3.65
13,0.66
14,0.0
15,5.06
16,75.45
17,6.79
18,1.99
19,0.0
20,0.37
21,82.87
22,6.67
23,0.0
24,0.0
25,0.21
26,89.21
27,0.58
28,0.0
29,0.0
30,0.72
31,87.71
32,1.57
33,0.01
