indicator,average
0,0.14
1,49.62
2,1.21
3,0.11
4,0.29
5,4.63
6,45.5
7,6.31
8,1.64
9,0.0
10,0.0
11,0.41
12,0.08
13,0.02
14,0.14
15,6.53
16,76.29
17,8.28
18,0.6
19,0.0
20,1.69
21,89.21
22,1.1
23,0.0
24,0.0
25,0.05
26,91.64
27,0.31
28,0.0
29,0.0
30,0.11
31,91.0
32,0.89
33,0.0
