indicator,average
0,8.29
1,31.63
2,10.37
3,0.23
4,0.39
5,4.05
6,37.14
7,6.15
8,1.91
9,0.0
10,0.12
11,4.77
12,1.74
13,0.56
14,0.03
15,6.33
16,73.14
17,9.67
18,1.54
19,0.0
20,6.28
21,72.69
22,11.59
23,0.43
24,0.0
25,0.48
26,88.04
27,2.48
28,0.0
29,0.0
30,1.15
31,85.92
32,3.91
33,0.02
