indicator,average
0,7.23
1,31.11
2,9.61
3,0.25
4,0.43
5,3.75
6,34.54
7,6.07
8,2.13
9,0.0
10,0.17
11,4.77
12,1.34
13,0.48
14,0.11
15,5.28
16,70.39
17,10.37
18,3.76
19,0.0
20,6.3
21,72.79
22,11.46
23,0.43
24,0.0
25,0.43
26,87.07
27,3.5
28,0.0
29,0.0
30,1.08
31,84.27
32,5.63
33,0.02
