indicator,average
0,12.57
1,26.46
2,11.89
3,0.15
4,0.37
5,5.32
6,35.07
7,5.19
8,1.47
9,0.26
10,2.21
11,16.19
12,3.83
13,0.38
14,0.32
15,13.52
16,65.85
17,9.38
18,2.43
19,0.89
20,14.86
21,59.69
22,16.4
23,0.11
24,1.2
25,13.46
26,64.6
27,11.44
28,1.23
29,1.62
30,11.32
31,63.11
32,14.44
33,1.37
