indicator,average
0,12.43
1,26.35
2,12.14
3,0.15
4,0.21
5,4.41
6,35.93
7,5.32
8,1.44
9,0.46
10,2.14
11,14.36
12,4.25
13,1.12
14,0.74
15,16.07
16,64.33
17,9.29
18,1.31
19,1.06
20,14.62
21,59.57
22,16.55
23,0.13
24,1.08
25,16.13
26,62.81
27,10.95
28,0.97
29,1.44
30,13.81
31,62.04
32,13.2
33,1.32
