indicator,average
0,13.29
1,24.42
2,10.82
3,0.17
4,0.24
5,3.16
6,30.47
7,6.86
8,2.41
9,0.18
10,2.24
11,16.46
12,3.82
13,0.82
14,2.18
15,16.35
16,62.51
17,8.42
18,1.5
19,0.99
20,14.76
21,60.36
22,15.67
23,0.14
24,0.82
25,13.54
26,62.84
27,13.24
28,1.45
29,1.28
30,12.91
31,62.85
32,13.81
33,1.02
