indicator,average
0,6.99
1,32.5
2,10.83
3,0.2
4,0.23
5,3.26
6,37.91
7,6.05
8,1.73
9,0.0
10,0.03
11,4.85
12,1.97
13,0.41
14,0.01
15,7.3
16,74.42
17,8.07
18,0.99
19,0.0
20,6.01
21,72.04
22,12.52
23,0.42
24,0.0
25,0.21
26,85.63
27,5.09
28,0.08
29,0.0
30,0.72
31,84.89
32,5.38
33,0.01
