indicator,average
0,31.08
1,8.94
2,10.19
3,0.31
4,0.11
5,2.86
6,26.64
7,4.41
8,1.17
9,0.08
10,2.76
11,22.09
12,5.09
13,0.88
14,0.05
15,8.75
16,73.65
17,6.8
18,1.41
19,0.0
20,0.83
21,83.62
22,6.45
23,0.0
24,0.0
25,0.45
26,90.18
27,0.36
28,0.0
29,0.0
30,1.36
31,88.05
32,1.58
33,0.01
