indicator,average
0,0.08
1,49.86
2,1.01
3,0.13
4,0.25
5,4.24
6,43.88
7,7.17
8,2.08
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.09
15,4.71
16,67.17
17,18.36
18,1.42
19,0.0
20,1.61
21,89.47
22,0.92
23,0.0
24,0.0
25,0.04
26,89.92
27,2.01
28,0.03
29,0.0
30,0.08
31,90.37
32,1.55
33,0.0
