indicator,average
0,13.57
1,27.03
2,10.33
3,0.15
4,0.2
5,4.0
6,34.78
7,5.98
8,1.72
9,0.07
10,1.78
11,17.78
12,3.65
13,0.55
14,0.2
15,9.03
16,67.65
17,12.85
18,1.86
19,0.63
20,13.17
21,59.99
22,18.01
23,0.18
24,0.82
25,11.85
26,62.33
27,14.38
28,2.2
29,2.05
30,13.26
31,63.4
32,12.05
33,0.79
