index,start_date,lat,lon,P0.1_N1_ALL_C9
7,1992-06-01,19.6795,-155.79903,1
14,1992-06-01,21.32913,-158.08727,5
17,1992-06-01,19.83736,-155.10158,1
25,1992-06-01,13.43787,144.69498,1
26,1992-06-01,7.49447,134.51651,1
34,1992-06-01,0.61878,128.18423,1
41,1992-06-01,2.48924,128.53255,1
75,1992-06-01,7.18326,126.29048,1
83,1992-06-01,7.11801,126.05241,1
84,1992-06-01,6.13935,125.65533,1
91,1992-06-01,7.77949,126.1156,1
112,1992-06-01,8.13055,125.83765,1
137,1992-06-01,6.09609,124.81245,1
142,1992-06-01,8.47834,125.55775,1
152,1992-06-01,6.01938,124.57794,1
153,1992-06-01,0.86404,122.75452,1
183,1992-06-01,0.67067,122.31132,1
185,1992-06-01,9.71795,125.43605,1
190,1992-06-01,7.77233,124.64095,1
191,1992-06-01,7.52578,124.54375,1
209,1992-06-01,0.73941,121.95436,1
223,1992-06-01,1.07295,121.6813,1
225,1992-06-01,0.53362,121.51308,1
232,1992-06-01,0.69905,121.37634,1
242,1992-06-01,8.11756,123.73778,1
255,1992-06-01,9.75935,124.1752,1
260,1992-06-01,7.53473,123.31063,1
267,1992-06-01,11.85389,124.83087,1
269,1992-06-01,9.92453,124.03024,1
299,1992-06-01,35.26666,140.3828,0
303,1992-06-01,9.1843,123.11134,1
304,1992-06-01,7.93528,122.64238,1
330,1992-06-01,12.1935,123.88918,1
356,1992-06-01,10.65336,123.05347,1
358,1992-06-01,10.16098,122.86187,1
359,1992-06-01,9.91373,122.76681,1
383,1992-06-01,36.72474,140.16225,1
406,1992-06-01,37.40054,140.5853,0
419,1992-06-01,35.26069,138.12213,0
427,1992-06-01,11.37443,122.70316,1
428,1992-06-01,11.1289,122.60728,1
436,1992-06-01,37.11081,139.83795,0
442,1992-06-01,36.12289,138.69705,2
448,1992-06-01,35.10822,137.59471,0
455,1992-06-01,11.53144,122.5532,1
465,1992-06-01,37.78785,140.26003,0
468,1992-06-01,37.30291,139.67416,0
495,1992-06-01,1.00641,118.86716,1
505,1992-06-01,37.98058,140.0957,0
506,1992-06-01,37.81928,139.89909,0
521,1992-06-01,35.30959,137.08257,1
528,1992-06-01,33.90434,135.67802,0
538,1992-06-01,39.28292,141.34019,0
545,1992-06-01,38.17268,139.93024,0
547,1992-06-01,37.84848,139.53777,0
553,1992-06-01,36.85765,138.38739,0
564,1992-06-01,34.97226,136.38036,0
574,1992-06-01,1.03258,118.50776,1
577,1992-06-01,39.63329,141.38156,0
584,1992-06-01,38.52555,139.96179,0
586,1992-06-01,38.20203,139.56665,0
596,1992-06-01,36.53906,137.65889,0
617,1992-06-01,39.98313,141.42348,0
635,1992-06-01,35.51472,136.21887,0
648,1992-06-01,40.1773,141.25661,0
661,1992-06-01,35.87294,136.22633,0
670,1992-06-01,33.90434,134.32198,0
681,1992-06-01,43.18458,145.2869,1
682,1992-06-01,40.52645,141.29813,0
683,1992-06-01,40.37086,141.08853,0
685,1992-06-01,40.05725,140.67302,0
700,1992-06-01,34.26524,134.31793,1
713,1992-06-01,46.00672,150.06848,5
724,1992-06-01,40.40696,140.71059,0
727,1992-06-01,39.93164,140.09212,5
740,1992-06-01,33.52048,133.31532,0
742,1992-06-01,33.1468,132.99045,0
758,1992-06-01,0.93855,117.5714,1
762,1992-06-01,52.17063,-174.4278,5
774,1992-06-01,42.43258,143.1301,0
784,1992-06-01,35.16678,134.48071,0
785,1992-06-01,34.98525,134.30972,0
810,1992-06-01,1.64342,117.57775,1
823,1992-06-01,42.92421,143.41234,0
828,1992-06-01,41.26096,140.9989,1
840,1992-06-01,33.87015,132.96669,0
859,1992-06-01,5.073,118.35729,1
863,1992-06-01,2.06671,117.509,1
867,1992-06-01,0.94875,117.21203,1
