index,start_date,lat,lon,P0.1_N1_ALL_C4
93094,1993-03-01,55.87164,50.44033,1
93106,1993-03-01,53.63976,53.20235,1
93111,1993-03-01,52.6819,54.25755,1
93120,1993-03-01,50.91983,56.02953,1
93125,1993-03-01,49.92101,56.94855,1
93129,1993-03-01,49.11224,57.65255,1
93132,1993-03-01,48.50015,58.16323,1
93134,1993-03-01,48.08954,58.49573,1
93147,1993-03-01,43.8764,61.50436,0
93153,1993-03-01,42.57635,62.30673,0
93155,1993-03-01,42.13945,62.56501,0
93164,1993-03-01,40.15176,63.67418,0
93182,1993-03-01,36.0724,65.65891,3
93226,1993-03-01,25.5174,69.49341,0
93236,1993-03-01,22.23222,70.41417,0
93238,1993-03-01,21.71957,70.54883,0
93251,1993-03-01,2.84485,-74.09952,0
93257,1993-03-01,4.62615,-73.82624,0
93271,1993-03-01,8.67747,-73.15163,0
93278,1993-03-01,10.652,-72.79342,0
93282,1993-03-01,17.98513,-71.2619,0
93286,1993-03-01,19.03647,-71.01237,0
93289,1993-03-01,19.81944,-70.82099,0
93294,1993-03-01,48.57651,-57.72435,1
93318,1993-03-01,66.1144,24.1284,1
93320,1993-03-01,65.92237,25.11483,1
93324,1993-03-01,65.51686,27.04052,1
93332,1993-03-01,64.62463,30.69972,1
93341,1993-03-01,63.50218,34.50852,1
93352,1993-03-01,61.97908,38.73251,1
93364,1993-03-01,60.15304,42.83308,1
93389,1993-03-01,55.90169,49.89909,1
93392,1993-03-01,55.3573,50.63068,1
93397,1993-03-01,54.43572,51.80131,1
93408,1993-03-01,52.34959,54.17808,1
93412,1993-03-01,51.57232,54.97992,1
93418,1993-03-01,50.38891,56.1254,1
93461,1993-03-01,39.37178,63.78862,1
93483,1993-03-01,34.34631,66.13558,1
93489,1993-03-01,32.93995,66.70845,3
93498,1993-03-01,30.80141,67.52057,0
93500,1993-03-01,30.32141,67.69379,1
93516,1993-03-01,26.41763,68.99321,0
93529,1993-03-01,22.39617,70.15537,0
93535,1993-03-01,20.85619,70.55996,0
93542,1993-03-01,1.85772,-74.07686,0
93550,1993-03-01,4.2454,-73.71328,0
93566,1993-03-01,8.87491,-72.9355,0
93570,1993-03-01,10.00423,-72.72967,0
93571,1993-03-01,10.2849,-72.67745,0
93596,1993-03-01,66.17581,-22.40983,0
93619,1993-03-01,65.51578,25.85186,1
93628,1993-03-01,64.54197,29.99868,1
93640,1993-03-01,63.04757,35.03164,1
93642,1993-03-01,62.77876,35.81608,1
93655,1993-03-01,60.90938,40.55261,1
93665,1993-03-01,59.34233,43.79395,1
93667,1993-03-01,59.01687,44.40319,1
93679,1993-03-01,56.98805,47.80637,1
93697,1993-03-01,53.72962,52.18854,1
93732,1993-03-01,46.80486,58.77366,1
93739,1993-03-01,43.64062,61.00102,0
93745,1993-03-01,42.34552,61.81262,0
93750,1993-03-01,41.25388,62.45772,0
93751,1993-03-01,41.03423,62.58348,0
93758,1993-03-01,39.48431,63.43495,0
93767,1993-03-01,37.46029,64.46001,3
93800,1993-03-01,29.74103,67.65651,0
93802,1993-03-01,29.258,67.826,0
93809,1993-03-01,27.55331,68.40047,1
93811,1993-03-01,27.0622,68.55944,1
93818,1993-03-01,25.32884,69.09865,0
93822,1993-03-01,24.32809,69.39529,0
93824,1993-03-01,23.31973,69.68398,0
93839,1993-03-01,2.37294,-73.83097,0
93845,1993-03-01,4.15869,-73.55441,0
93865,1993-03-01,9.91643,-72.56236,0
93867,1993-03-01,10.47697,-72.45674,0
93872,1993-03-01,11.86703,-72.18719,0
93883,1993-03-01,48.51957,-57.01616,1
93887,1993-03-01,49.32407,-56.30993,1
93893,1993-03-01,65.78468,-23.19859,1
93895,1993-03-01,65.96261,-22.20347,0
93943,1993-03-01,61.47073,38.51692,1
93950,1993-03-01,60.42865,40.93663,1
93956,1993-03-01,59.49313,42.8789,1
93963,1993-03-01,58.35642,45.0,1
93981,1993-03-01,55.23656,49.80795,0
93982,1993-03-01,55.05575,50.05023,1
94000,1993-03-01,51.68376,54.02313,1
94004,1993-03-01,50.90646,54.81478,1
94024,1993-03-01,46.88527,58.3523,1
94026,1993-03-01,46.47158,58.6713,1
94032,1993-03-01,43.30695,60.89014,0
94059,1993-03-01,37.35143,64.23067,3
94062,1993-03-01,36.66999,64.55825,3
94079,1993-03-01,32.73515,66.27634,3
94081,1993-03-01,32.26402,66.46419,1
94090,1993-03-01,30.12227,67.27589,1
94096,1993-03-01,28.67457,67.78817,0
94098,1993-03-01,28.18843,67.95408,1
94111,1993-03-01,24.98392,68.97754,0
94119,1993-03-01,22.21019,69.77514,0
