index,start_date,lat,lon,P0.1_N1_Q0.1_V[ALL]_C2
7,2007-03-01,19.6795,-155.79903,0
14,2007-03-01,21.32913,-158.08727,0
17,2007-03-01,19.83736,-155.10158,0
25,2007-03-01,13.43787,144.69498,0
26,2007-03-01,7.49447,134.51651,0
34,2007-03-01,0.61878,128.18423,0
41,2007-03-01,2.48924,128.53255,0
75,2007-03-01,7.18326,126.29048,0
83,2007-03-01,7.11801,126.05241,0
84,2007-03-01,6.13935,125.65533,0
91,2007-03-01,7.77949,126.1156,0
112,2007-03-01,8.13055,125.83765,0
137,2007-03-01,6.09609,124.81245,0
142,2007-03-01,8.47834,125.55775,0
152,2007-03-01,6.01938,124.57794,0
153,2007-03-01,0.86404,122.75452,0
183,2007-03-01,0.67067,122.31132,0
185,2007-03-01,9.71795,125.43605,0
190,2007-03-01,7.77233,124.64095,0
191,2007-03-01,7.52578,124.54375,0
209,2007-03-01,0.73941,121.95436,0
223,2007-03-01,1.07295,121.6813,0
225,2007-03-01,0.53362,121.51308,0
232,2007-03-01,0.69905,121.37634,0
242,2007-03-01,8.11756,123.73778,0
255,2007-03-01,9.75935,124.1752,0
260,2007-03-01,7.53473,123.31063,0
267,2007-03-01,11.85389,124.83087,0
269,2007-03-01,9.92453,124.03024,0
299,2007-03-01,35.26666,140.3828,1
303,2007-03-01,9.1843,123.11134,0
304,2007-03-01,7.93528,122.64238,0
330,2007-03-01,12.1935,123.88918,0
356,2007-03-01,10.65336,123.05347,0
358,2007-03-01,10.16098,122.86187,0
359,2007-03-01,9.91373,122.76681,0
383,2007-03-01,36.72474,140.16225,0
406,2007-03-01,37.40054,140.5853,1
419,2007-03-01,35.26069,138.12213,1
427,2007-03-01,11.37443,122.70316,0
428,2007-03-01,11.1289,122.60728,0
436,2007-03-01,37.11081,139.83795,1
442,2007-03-01,36.12289,138.69705,1
448,2007-03-01,35.10822,137.59471,1
455,2007-03-01,11.53144,122.5532,0
465,2007-03-01,37.78785,140.26003,1
468,2007-03-01,37.30291,139.67416,1
495,2007-03-01,1.00641,118.86716,0
