index,start_date,lat,lon,P0.1_N1_[ALL]_C8
7,1999-12-01,19.6795,-155.79903,0
14,1999-12-01,21.32913,-158.08727,0
17,1999-12-01,19.83736,-155.10158,0
25,1999-12-01,13.43787,144.69498,0
26,1999-12-01,7.49447,134.51651,0
34,1999-12-01,0.61878,128.18423,0
41,1999-12-01,2.48924,128.53255,0
75,1999-12-01,7.18326,126.29048,0
83,1999-12-01,7.11801,126.05241,0
84,1999-12-01,6.13935,125.65533,0
91,1999-12-01,7.77949,126.1156,0
112,1999-12-01,8.13055,125.83765,0
137,1999-12-01,6.09609,124.81245,0
142,1999-12-01,8.47834,125.55775,0
152,1999-12-01,6.01938,124.57794,0
153,1999-12-01,0.86404,122.75452,0
183,1999-12-01,0.67067,122.31132,0
185,1999-12-01,9.71795,125.43605,0
190,1999-12-01,7.77233,124.64095,0
191,1999-12-01,7.52578,124.54375,0
209,1999-12-01,0.73941,121.95436,0
223,1999-12-01,1.07295,121.6813,0
225,1999-12-01,0.53362,121.51308,0
232,1999-12-01,0.69905,121.37634,0
242,1999-12-01,8.11756,123.73778,0
255,1999-12-01,9.75935,124.1752,0
260,1999-12-01,7.53473,123.31063,0
267,1999-12-01,11.85389,124.83087,0
269,1999-12-01,9.92453,124.03024,0
299,1999-12-01,35.26666,140.3828,2
303,1999-12-01,9.1843,123.11134,0
304,1999-12-01,7.93528,122.64238,0
330,1999-12-01,12.1935,123.88918,0
356,1999-12-01,10.65336,123.05347,0
358,1999-12-01,10.16098,122.86187,0
359,1999-12-01,9.91373,122.76681,0
383,1999-12-01,36.72474,140.16225,0
406,1999-12-01,37.40054,140.5853,2
419,1999-12-01,35.26069,138.12213,2
427,1999-12-01,11.37443,122.70316,0
428,1999-12-01,11.1289,122.60728,0
436,1999-12-01,37.11081,139.83795,2
442,1999-12-01,36.12289,138.69705,2
448,1999-12-01,35.10822,137.59471,2
455,1999-12-01,11.53144,122.5532,0
465,1999-12-01,37.78785,140.26003,2
468,1999-12-01,37.30291,139.67416,2
495,1999-12-01,1.00641,118.86716,0
505,1999-12-01,37.98058,140.0957,2
506,1999-12-01,37.81928,139.89909,2
521,1999-12-01,35.30959,137.08257,0
528,1999-12-01,33.90434,135.67802,2
538,1999-12-01,39.28292,141.34019,2
545,1999-12-01,38.17268,139.93024,2
547,1999-12-01,37.84848,139.53777,2
553,1999-12-01,36.85765,138.38739,2
564,1999-12-01,34.97226,136.38036,2
574,1999-12-01,1.03258,118.50776,0
577,1999-12-01,39.63329,141.38156,2
584,1999-12-01,38.52555,139.96179,2
586,1999-12-01,38.20203,139.56665,2
596,1999-12-01,36.53906,137.65889,2
617,1999-12-01,39.98313,141.42348,2
635,1999-12-01,35.51472,136.21887,2
648,1999-12-01,40.1773,141.25661,2
661,1999-12-01,35.87294,136.22633,2
670,1999-12-01,33.90434,134.32198,2
681,1999-12-01,43.18458,145.2869,0
682,1999-12-01,40.52645,141.29813,2
683,1999-12-01,40.37086,141.08853,2
685,1999-12-01,40.05725,140.67302,2
700,1999-12-01,34.26524,134.31793,0
713,1999-12-01,46.00672,150.06848,0
724,1999-12-01,40.40696,140.71059,2
727,1999-12-01,39.93164,140.09212,0
740,1999-12-01,33.52048,133.31532,2
742,1999-12-01,33.1468,132.99045,2
758,1999-12-01,0.93855,117.5714,0
762,1999-12-01,52.17063,-174.4278,0
774,1999-12-01,42.43258,143.1301,2
784,1999-12-01,35.16678,134.48071,2
785,1999-12-01,34.98525,134.30972,2
810,1999-12-01,1.64342,117.57775,0
823,1999-12-01,42.92421,143.41234,5
828,1999-12-01,41.26096,140.9989,0
840,1999-12-01,33.87015,132.96669,2
859,1999-12-01,5.073,118.35729,0
863,1999-12-01,2.06671,117.509,0
867,1999-12-01,0.94875,117.21203,0
881,1999-12-01,41.13896,140.40379,0
890,1999-12-01,32.90825,131.82942,2
893,1999-12-01,32.3317,131.36182,2
895,1999-12-01,31.94414,131.05481,2
901,1999-12-01,16.3591,122.125,0
905,1999-12-01,14.18683,121.24693,0
910,1999-12-01,12.95731,120.77753,0
914,1999-12-01,4.94835,118.13134,0
923,1999-12-01,1.09291,117.06889,0
939,1999-12-01,35.14726,133.44249,2
947,1999-12-01,32.69456,131.34071,2
953,1999-12-01,31.52595,130.42607,0
954,1999-12-01,31.32897,130.27689,0
971,1999-12-01,4.82195,117.90593,0
972,1999-12-01,4.55096,117.82818,0
976,1999-12-01,3.45911,117.52112,0
983,1999-12-01,1.23618,116.9254,0
1001,1999-12-01,41.51928,140.05383,0
1003,1999-12-01,35.13641,133.09662,2
1026,1999-12-01,15.69651,121.41187,0
1027,1999-12-01,15.45481,121.31487,0
1036,1999-12-01,11.7515,119.92213,0
1039,1999-12-01,5.77328,117.99339,0
1054,1999-12-01,1.65939,116.85442,0
1063,1999-12-01,43.70929,142.72864,4
1075,1999-12-01,35.12339,132.75087,2
1090,1999-12-01,17.99212,122.14766,0
1094,1999-12-01,17.04343,121.74413,0
1098,1999-12-01,16.08475,121.34958,0
1100,1999-12-01,15.60164,121.15559,0
1105,1999-12-01,10.88268,119.4156,0
1112,1999-12-01,5.10684,117.61075,0
1118,1999-12-01,3.46844,117.15343,0
1122,1999-12-01,2.36007,116.85626,0
1131,1999-12-01,44.34706,143.24632,0
1137,1999-12-01,43.45339,141.87482,1
1158,1999-12-01,17.90355,121.88356,0
1162,1999-12-01,16.95161,121.48343,0
1169,1999-12-01,15.26165,120.80451,0
1180,1999-12-01,4.15869,117.15723,0
1186,1999-12-01,2.50078,116.71084,0
1187,1999-12-01,2.2216,116.63776,0
1211,1999-12-01,42.40375,139.94408,2
1214,1999-12-01,34.13977,131.25385,2
1226,1999-12-01,16.85798,121.2233,0
1245,1999-12-01,4.84509,117.16109,0
1251,1999-12-01,3.19657,116.71178,0
1263,1999-12-01,53.43754,-168.05582,0
1277,1999-12-01,33.14309,130.13904,0
1282,1999-12-01,17.72096,121.35709,0
1283,1999-12-01,17.48228,121.25791,0
1291,1999-12-01,15.55053,120.48444,0
1294,1999-12-01,14.81576,120.20324,0
1301,1999-12-01,5.52774,117.16499,0
1307,1999-12-01,3.88839,116.71272,0
1312,1999-12-01,2.50034,116.34637,0
1313,1999-12-01,2.22026,116.27422,0
1321,1999-12-01,53.51503,-166.92442,0
1331,1999-12-01,33.11132,129.80557,2
1332,1999-12-01,18.34171,121.39305,0
1333,1999-12-01,18.10407,121.29304,0
1359,1999-12-01,3.19612,116.34496,0
1376,1999-12-01,51.60372,157.11647,4
1407,1999-12-01,3.88794,116.34355,0
1410,1999-12-01,3.05489,116.12545,0
1419,1999-12-01,0.51101,115.49088,0
1423,1999-12-01,52.18654,158.26318,0
1433,1999-12-01,17.91381,120.76664,0
1440,1999-12-01,8.61467,117.49284,0
1446,1999-12-01,5.3972,116.56505,0
1457,1999-12-01,2.35075,115.76427,0
1466,1999-12-01,54.09554,-165.96376,0
1468,1999-12-01,52.40771,158.13364,4
1470,1999-12-01,52.22779,157.48727,1
1482,1999-12-01,16.11845,119.83793,0
