index,start_date,lat,lon,P0.05_N1_Q0.1_V[ALL]_C32
8,1995-06-01,19.7921,-155.97781,2
15,1995-06-01,22.02062,-159.39676,2
25,1995-06-01,13.43787,144.69498,2
26,1995-06-01,7.49447,134.51651,2
44,1995-06-01,0.50879,127.73455,3
51,1995-06-01,1.64475,127.77568,2
63,1995-06-01,1.38789,124.67474,2
92,1995-06-01,7.53741,126.0148,30
94,1995-06-01,6.31557,125.51804,2
106,1995-06-01,6.24418,125.28251,2
124,1995-06-01,9.26697,126.10414,2
128,1995-06-01,8.30486,125.69794,2
176,1995-06-01,7.60183,124.78174,2
192,1995-06-01,7.27848,124.44703,2
227,1995-06-01,11.35272,125.26888,2
253,1995-06-01,10.96985,124.67274,30
293,1995-06-01,10.49636,123.83673,2
327,1995-06-01,35.81877,140.25781,2
329,1995-06-01,12.67306,124.09038,30
337,1995-06-01,9.5061,122.81908,2
339,1995-06-01,7.49715,122.07787,2
367,1995-06-01,36.04387,139.74905,2
372,1995-06-01,35.21725,138.81407,0
382,1995-06-01,36.88592,140.35582,7
444,1995-06-01,35.78761,138.32538,1
461,1995-06-01,38.42358,141.05695,0
511,1995-06-01,37.00134,138.93289,1
522,1995-06-01,35.13641,136.90338,2
530,1995-06-01,13.78602,123.03152,2
538,1995-06-01,39.28292,141.34019,0
588,1995-06-01,37.87544,139.17609,0
608,1995-06-01,34.44735,135.51308,30
632,1995-06-01,36.03784,136.75699,0
655,1995-06-01,37.92265,138.45175,2
706,1995-06-01,12.60761,121.48939,2
713,1995-06-01,46.00672,150.06848,2
740,1995-06-01,33.52048,133.31532,7
756,1995-06-01,1.49746,117.72092,2
759,1995-06-01,0.6578,117.49719,2
762,1995-06-01,52.17063,-174.4278,2
820,1995-06-01,43.35999,144.09824,0
850,1995-06-01,14.52513,121.59544,2
866,1995-06-01,1.22952,117.28571,2
883,1995-06-01,35.33894,133.95837,0
931,1995-06-01,43.31792,143.07321,0
943,1995-06-01,34.40434,132.77769,0
996,1995-06-01,42.91513,142.00127,0
1011,1995-06-01,33.24908,131.47597,0
1016,1995-06-01,32.28132,130.70261,0
1017,1995-06-01,32.08588,130.5508,0
1031,1995-06-01,14.48161,120.93219,2
1078,1995-06-01,34.5609,132.25739,7
1169,1995-06-01,15.26165,120.80451,2
1170,1995-06-01,15.0177,120.70968,2
1175,1995-06-01,5.51838,117.53989,2
1193,1995-06-01,0.52875,116.20695,3
1204,1995-06-01,43.64613,141.69801,0
1216,1995-06-01,33.56145,130.78229,2
1255,1995-06-01,2.08136,116.41982,3
1267,1995-06-01,44.14153,141.97276,0
1268,1995-06-01,43.99032,141.74557,0
1269,1995-06-01,43.83827,141.51981,2
1279,1995-06-01,32.74992,129.83569,2
1280,1995-06-01,18.19647,121.55713,2
1305,1995-06-01,4.43797,116.86192,3
1342,1995-06-01,15.93757,120.4181,2
1350,1995-06-01,5.66632,117.0156,3
1353,1995-06-01,4.84999,116.78857,3
1436,1995-06-01,17.19238,120.47517,2
1455,1995-06-01,2.9119,115.90651,3
1458,1995-06-01,2.06893,115.6937,3
1471,1995-06-01,52.13594,157.16635,0
1481,1995-06-01,16.3628,119.93151,2
1491,1995-06-01,4.98619,116.26664,3
1497,1995-06-01,3.32672,115.83053,3
1517,1995-06-01,6.21206,116.41408,2
1518,1995-06-01,5.94046,116.33918,2
1539,1995-06-01,0.05333,114.85311,3
1553,1995-06-01,34.51621,129.34052,2
1575,1995-06-01,0.18682,114.70823,3
1594,1995-06-01,5.3883,115.81613,2
1619,1995-06-01,53.72513,159.27444,0
1621,1995-06-01,53.55458,158.60019,0
1634,1995-06-01,5.52061,115.66519,2
1690,1995-06-01,1.44555,114.47068,3
1696,1995-06-01,55.01861,-162.86971,2
1715,1995-06-01,47.4069,142.26111,0
1739,1995-06-01,0.42231,114.05996,3
1745,1995-06-01,54.87653,160.9744,0
1768,1995-06-01,35.31393,128.39154,0
1778,1995-06-01,22.81218,121.03363,2
1791,1995-06-01,2.27619,114.30933,3
1839,1995-06-01,23.41442,121.0694,2
1878,1995-06-01,54.38238,156.89819,0
