index,start_date,lat,lon,ft_frozen,ft_thawed,ft_trans,ft_itrans,fw_fw_06_swe_minus3,fw_fw_06_swe_minus2,fw_fw_06_swe_minus1,fw_fw_06_swe_plus1,fw_fw_06_swe_plus2,swe_swe_average_minus3,swe_swe_average_minus2,swe_swe_average_minus1,swe_swe_average_plus1,swe_swe_average_plus2,energy_sw_up_minus3,energy_sw_up_minus2,energy_sw_up_minus1,energy_sw_up_plus1,energy_sw_up_plus2,energy_sw_dn_minus3,energy_sw_dn_minus2,energy_sw_dn_minus1,energy_sw_dn_plus1,energy_sw_dn_plus2,energy_lw_up_minus3,energy_lw_up_minus2,energy_lw_up_minus1,energy_lw_up_plus1,energy_lw_up_plus2,energy_lw_dn_minus3,energy_lw_dn_minus2,energy_lw_dn_minus1,energy_lw_dn_plus1,energy_lw_dn_plus2,clusterLabel
7,2002-03-01,19.6795,-155.79903,0,0,0,0,5,44,43,0,0,0,0,0,0,0,0,17,74,1,0,3,11,69,9,0,0,1,67,23,1,7,3,48,33,1,2
14,2002-03-01,21.32913,-158.08727,0,0,0,0,0,1,57,23,11,0,0,0,0,0,0,17,75,0,0,0,17,69,6,0,0,36,47,4,5,8,6,40,35,1,2
17,2002-03-01,19.83736,-155.10158,0,0,0,0,19,10,32,31,0,0,0,0,0,0,0,0,92,0,0,3,10,68,11,0,0,1,74,16,1,5,5,49,32,1,2
25,2002-03-01,13.43787,144.69498,0,0,0,0,0,4,73,13,2,0,0,0,0,0,0,12,80,0,0,2,5,82,3,0,0,0,78,9,5,0,7,57,25,3,2
26,2002-03-01,7.49447,134.51651,0,0,0,0,0,8,73,11,0,0,0,0,0,0,0,25,61,3,0,3,7,62,19,0,0,0,64,28,0,0,9,57,24,1,2
34,2002-03-01,0.61878,128.18423,0,0,0,0,13,27,42,8,1,0,0,0,0,0,0,0,61,31,0,5,24,53,9,0,0,6,80,6,0,0,8,68,14,2,2
41,2002-03-01,2.48924,128.53255,0,0,0,0,6,34,52,0,0,0,0,0,0,0,0,9,80,1,1,0,21,51,20,0,0,14,45,33,0,0,12,57,21,2,2
75,2002-03-01,7.18326,126.29048,0,0,0,0,0,10,53,12,11,0,0,0,0,0,0,0,66,25,1,5,20,57,10,0,0,7,84,1,0,1,10,60,20,0,2
83,2002-03-01,7.11801,126.05241,0,0,0,0,0,0,45,47,0,0,0,0,0,0,0,0,59,32,1,2,28,51,11,0,0,3,86,3,0,1,9,61,20,0,2
84,2002-03-01,6.13935,125.65533,0,0,0,0,1,1,61,21,8,0,0,0,0,0,0,0,72,19,1,5,23,53,11,0,0,9,82,1,0,1,13,55,20,2,2
91,2002-03-01,7.77949,126.1156,0,0,0,0,0,15,76,0,0,0,0,0,0,0,0,0,45,45,2,3,26,51,12,0,0,6,83,3,0,2,10,63,16,0,2
112,2002-03-01,8.13055,125.83765,0,0,0,0,0,18,49,0,0,0,0,0,0,0,0,0,43,49,0,2,13,66,10,0,0,7,77,7,1,2,10,65,14,0,2
