indicator,average
0,30.52
1,9.08
2,10.1
3,0.27
4,0.06
5,1.97
6,26.43
7,5.52
8,1.54
9,0.04
10,2.65
11,21.47
12,4.41
13,1.54
14,0.0
15,1.17
16,78.52
17,8.14
18,1.68
19,0.0
20,0.26
21,82.93
22,6.72
23,0.0
24,0.0
25,0.52
26,89.18
27,0.3
28,0.0
29,0.0
30,1.24
31,87.76
32,0.99
33,0.01
