indicator,average
0,30.63
1,8.79
2,8.54
3,0.36
4,0.09
5,1.71
6,22.38
7,5.85
8,1.84
9,0.02
10,1.82
11,22.77
12,5.26
13,1.15
14,0.09
15,8.69
16,72.69
17,6.81
18,1.37
19,0.0
20,0.67
21,82.86
22,6.38
23,0.0
24,0.0
25,0.57
26,89.22
27,0.2
28,0.0
29,0.0
30,1.24
31,87.71
32,1.05
33,0.0
