indicator,average
0,0.09
1,49.86
2,1.01
3,0.11
4,0.47
5,4.92
6,44.53
7,6.85
8,1.97
9,0.0
10,0.0
11,0.05
12,0.02
13,0.01
14,0.12
15,5.21
16,78.01
17,7.78
18,0.69
19,0.0
20,1.74
21,89.29
22,0.97
23,0.0
24,0.0
25,0.06
26,91.23
27,0.71
28,0.0
29,0.0
30,0.11
31,90.13
32,1.76
33,0.0
