indicator,average
0,7.16
1,32.38
2,10.78
3,0.2
4,0.27
5,3.63
6,37.37
7,5.12
8,1.62
9,0.0
10,0.06
11,4.13
12,1.6
13,0.79
14,0.03
15,6.63
16,65.63
17,14.96
18,3.36
19,0.0
20,5.8
21,72.11
22,12.57
23,0.5
24,0.0
25,0.88
26,84.38
27,5.7
28,0.04
29,0.0
30,1.45
31,83.53
32,5.99
33,0.03
