indicator,average
0,0.09
1,49.78
2,1.09
3,0.11
4,0.23
5,4.17
6,44.37
7,7.57
8,2.39
9,0.0
10,0.0
11,0.63
12,0.09
13,0.02
14,0.06
15,2.64
16,78.12
17,10.49
18,0.54
19,0.0
20,1.74
21,89.26
22,1.01
23,0.0
24,0.0
25,0.02
26,91.13
27,0.84
28,0.0
29,0.0
30,0.06
31,90.43
32,1.51
33,0.0
