indicator,average
0,13.82
1,25.84
2,11.27
3,0.15
4,0.19
5,3.2
6,34.92
7,7.06
8,1.92
9,0.03
10,1.91
11,17.28
12,3.35
13,0.64
14,0.31
15,9.46
16,67.26
17,12.12
18,2.07
19,0.72
20,14.04
21,60.03
22,17.03
23,0.16
24,1.16
25,12.87
26,58.89
27,16.29
28,2.47
29,2.01
30,14.95
31,60.51
32,13.15
33,1.17
