indicator,average
0,14.86
1,23.91
2,12.15
3,0.15
4,0.23
5,4.28
6,33.65
7,5.58
8,1.6
9,0.13
10,1.83
11,18.24
12,4.19
13,0.73
14,0.29
15,11.47
16,66.53
17,11.51
18,1.74
19,0.86
20,13.7
21,60.58
22,16.71
23,0.11
24,1.29
25,16.61
26,63.12
27,10.13
28,0.78
29,1.39
30,14.92
31,60.69
32,13.64
33,1.22
