indicator,average
0,6.36
1,33.68
2,10.26
3,0.22
4,0.26
5,3.48
6,38.36
7,5.28
8,1.39
9,0.0
10,0.01
11,4.14
12,1.29
13,0.41
14,0.01
15,5.55
16,77.04
17,7.52
18,0.72
19,0.0
20,5.72
21,72.55
22,12.27
23,0.45
24,0.0
25,0.15
26,84.09
27,6.64
28,0.12
29,0.0
30,0.59
31,83.85
32,6.53
33,0.03
