indicator,average
0,31.38
1,9.05
2,8.92
3,0.37
4,0.08
5,2.18
6,25.84
7,5.82
8,1.58
9,0.06
10,2.1
11,21.2
12,5.24
13,1.63
14,0.06
15,5.02
16,74.66
17,7.3
18,2.22
19,0.0
20,0.52
21,82.92
22,6.46
23,0.0
24,0.0
25,0.32
26,89.39
27,0.28
28,0.01
29,0.0
30,0.53
31,88.03
32,1.43
33,0.0
