indicator,average
0,13.68
1,26.76
2,10.47
3,0.17
4,0.2
5,3.73
6,35.11
7,6.0
8,1.69
9,0.03
10,1.83
11,17.28
12,3.42
13,0.69
14,0.13
15,5.37
16,59.75
17,21.33
18,4.7
19,0.88
20,13.49
21,60.28
22,17.11
23,0.19
24,1.02
25,13.26
26,59.94
27,15.16
28,2.39
29,1.54
30,14.93
31,60.95
32,13.07
33,1.32
