indicator,average
0,12.2
1,27.55
2,11.16
3,0.16
4,0.23
5,4.1
6,35.57
7,5.7
8,1.52
9,0.11
10,2.7
11,14.49
12,4.03
13,0.43
14,1.51
15,7.78
16,62.13
17,16.75
18,3.25
19,0.72
20,13.98
21,60.12
22,16.94
23,0.2
24,0.89
25,11.22
26,59.5
27,17.19
28,2.86
29,1.97
30,12.72
31,59.74
32,15.47
33,1.68
