indicator,average
0,0.12
1,47.4
2,1.06
3,0.13
4,0.51
5,4.64
6,38.84
7,7.95
8,2.84
9,0.0
10,0.0
11,0.35
12,0.07
13,0.03
14,0.55
15,5.71
16,73.01
17,9.18
18,2.93
19,0.0
20,2.35
21,88.55
22,1.09
23,0.0
24,0.0
25,0.03
26,90.81
27,1.15
28,0.0
29,0.0
30,0.07
31,90.7
32,1.22
33,0.0
