indicator,average
0,30.4
1,8.82
2,11.05
3,0.25
4,0.07
5,2.52
6,26.75
7,4.09
8,1.13
9,0.02
10,2.01
11,23.61
12,4.13
13,0.75
14,0.08
15,2.73
16,78.61
17,7.38
18,1.74
19,0.0
20,0.45
21,82.91
22,7.55
23,0.0
24,0.0
25,0.21
26,89.76
27,0.97
28,0.03
29,0.0
30,0.59
31,88.74
32,1.66
33,0.01
