indicator,average
0,30.34
1,9.67
2,9.65
3,0.31
4,0.07
5,2.67
6,27.75
7,4.24
8,1.01
9,0.11
10,1.28
11,19.76
12,6.41
13,1.8
14,0.04
15,4.31
16,76.91
17,6.81
18,1.54
19,0.0
20,0.66
21,82.85
22,6.39
23,0.0
24,0.0
25,0.32
26,89.19
27,0.48
28,0.0
29,0.0
30,0.92
31,87.16
32,1.91
33,0.01
