indicator,average
0,9.17
1,30.24
2,10.45
3,0.28
4,0.31
5,3.03
6,34.78
7,7.15
8,2.56
9,0.0
10,0.1
11,4.76
12,2.25
13,0.95
14,0.1
15,8.9
16,69.92
17,9.3
18,2.16
19,0.0
20,5.6
21,73.03
22,11.94
23,0.41
24,0.0
25,1.94
26,86.33
27,2.73
28,0.0
29,0.0
30,2.43
31,84.91
32,3.64
33,0.01
