indicator,average
0,0.14
1,49.6
2,1.22
3,0.11
4,0.26
5,4.29
6,44.16
7,7.48
8,2.23
9,0.0
10,0.0
11,0.57
12,0.02
13,0.01
14,0.06
15,5.1
16,78.61
17,7.18
18,0.69
19,0.0
20,1.59
21,89.11
22,1.29
23,0.0
24,0.0
25,0.08
26,90.26
27,1.64
28,0.02
29,0.0
30,0.17
31,90.94
32,0.89
33,0.0
