indicator,average
0,13.27
1,27.06
2,10.57
3,0.18
4,0.27
5,3.9
6,35.15
7,6.06
8,1.58
9,0.12
10,1.98
11,16.57
12,3.64
13,0.65
14,0.64
15,14.54
16,65.92
17,9.22
18,1.34
19,0.78
20,13.35
21,60.1
22,17.59
23,0.15
24,0.88
25,11.61
26,60.43
27,16.13
28,2.65
29,1.5
30,13.26
31,60.88
32,14.74
33,1.48
