indicator,average
0,13.15
1,25.31
2,12.48
3,0.14
4,0.23
5,3.46
6,31.36
7,6.86
8,2.4
9,0.16
10,1.72
11,16.78
12,4.3
13,0.77
14,0.16
15,6.46
16,67.4
17,14.76
18,2.67
19,0.71
20,13.78
21,60.44
22,16.89
23,0.16
24,1.26
25,16.49
26,62.56
27,10.12
28,1.42
29,1.38
30,14.47
31,61.74
32,12.87
33,1.24
