indicator,average
0,0.11
1,49.42
2,1.02
3,0.14
4,0.41
5,4.46
6,41.97
7,7.95
8,2.51
9,0.0
10,0.0
11,0.8
12,0.1
13,0.05
14,0.4
15,6.46
16,76.2
17,7.11
18,1.57
19,0.0
20,1.78
21,89.0
22,1.22
23,0.0
24,0.0
25,0.04
26,91.35
27,0.62
28,0.0
29,0.0
30,0.06
31,91.13
32,0.81
33,0.0
