indicator,average
0,12.49
1,27.0
2,11.43
3,0.16
4,0.28
5,4.2
6,35.24
7,5.88
8,1.44
9,0.15
10,2.16
11,16.04
12,3.84
13,0.46
14,1.09
15,13.88
16,65.5
17,10.22
18,1.11
19,0.69
20,13.41
21,60.79
22,16.95
23,0.12
24,0.7
25,13.95
26,64.41
27,11.94
28,0.93
29,1.78
30,14.96
31,60.68
32,13.3
33,1.0
