indicator,average
0,0.24
1,49.39
2,1.32
3,0.13
4,0.43
5,4.71
6,39.6
7,8.11
8,2.92
9,0.0
10,0.0
11,1.03
12,0.29
13,0.15
14,0.17
15,3.06
16,72.3
17,12.49
18,3.25
19,0.0
20,2.07
21,88.32
22,1.61
23,0.0
24,0.0
25,0.18
26,91.48
27,0.34
28,0.0
29,0.0
30,0.57
31,91.05
32,0.39
33,0.0
