indicator,average
0,6.96
1,31.79
2,11.56
3,0.21
4,0.22
5,3.15
6,37.62
7,5.67
8,1.58
9,0.0
10,0.04
11,4.51
12,1.55
13,0.31
14,0.03
15,9.16
16,63.36
17,14.72
18,3.31
19,0.0
20,5.22
21,72.3
22,13.0
23,0.46
24,0.0
25,0.28
26,84.72
27,5.88
28,0.12
29,0.0
30,0.87
31,84.41
32,5.67
33,0.05
