indicator,average
0,29.5
1,9.22
2,10.17
3,0.28
4,0.05
5,1.92
6,28.15
7,5.41
8,1.33
9,0.03
10,2.37
11,23.4
12,3.42
13,0.66
14,0.02
15,4.63
16,73.87
17,7.34
18,3.17
19,0.0
20,0.44
21,83.69
22,5.78
23,0.0
24,0.0
25,0.12
26,89.38
27,0.5
28,0.0
29,0.0
30,0.33
31,87.64
32,2.02
33,0.01
