indicator,average
0,0.12
1,49.61
2,1.23
3,0.11
4,0.34
5,4.64
6,43.49
7,7.56
8,2.21
9,0.0
10,0.0
11,0.64
12,0.05
13,0.02
14,0.05
15,3.37
16,80.97
17,6.66
18,0.71
19,0.0
20,1.47
21,89.46
22,1.08
23,0.0
24,0.0
25,0.06
26,89.74
27,2.18
28,0.03
29,0.0
30,0.19
31,90.29
32,1.52
33,0.0
