ft_frozen,ft_thawed,ft_trans,ft_itrans,fw_fw_06_swe_-3,fw_fw_06_swe_-2,fw_fw_06_swe_-1,fw_fw_06_swe_+1,fw_fw_06_swe_+2,swe_swe_average_-3,swe_swe_average_-2,swe_swe_average_-1,swe_swe_average_+1,swe_swe_average_+2,energy_sw_up_-3,energy_sw_up_-2,energy_sw_up_-1,energy_sw_up_+1,energy_sw_up_+2,energy_sw_dn_-3,energy_sw_dn_-2,energy_sw_dn_-1,energy_sw_dn_+1,energy_sw_dn_+2,energy_lw_up_-3,energy_lw_up_-2,energy_lw_up_-1,energy_lw_up_+1,energy_lw_up_+2,energy_lw_dn_-3,energy_lw_dn_-2,energy_lw_dn_-1,energy_lw_dn_+1,energy_lw_dn_+2
0.079454872717922342,91.168680894831581,0.63049627153509902,0.12136796091540242,0.19773720750835691,4.0123425044998715,70.731036256106975,7.5566983800462841,1.9040884546155825,0.0,0.0,0.74132167652352787,0.14348161481100541,0.029313448187194651,0.14862432501928516,4.1486243250192851,79.756749807148367,7.0557984057598357,0.57726922087940347,0.0017999485728979173,3.3605039856004115,87.671637953201341,0.96605811262535357,0.0,0.0012856775520699408,0.035484700437130368,90.502442787348926,1.4597582926202108,0.0010285420416559527,0.0,0.1043970172280792,88.590383131910514,3.3047055798405758,0.00051427102082797634
0.0,0.0,0.0,0.0,0.3655499555292025,6.0195671509042397,62.18944559739105,8.8307144974799883,2.2920249036466056,0.0,0.0,0.41506077675659653,0.054847316928550251,0.014527127186480878,0.016602431070263862,1.1636525348354581,85.422769048324938,5.1411206640972429,0.20753038837829826,0.00029647198339756892,0.7447376222946932,90.729024607174622,0.52594129854728733,0.0,0.0,0.0020753038837829827,91.786540171953746,0.21138452416246664,0.0,0.0,0.0068188556181440858,91.51022828342721,0.4829528609546398,0.0
0.0,91.729446935724965,0.22197309417040359,0.048579970104633781,0.0059790732436472349,0.0048579970104633777,9.1704035874439462,2.1520926756352767,1.4368460388639761,0.0,0.0,0.29446935724962631,0.0093423019431988046,0.0018684603886397607,0.021300448430493273,2.9495515695067263,78.997384155455904,9.7059043348281016,0.22720478325859492,0.0,0.92638266068759345,89.696935724962628,1.3766816143497758,0.0,0.0,0.020926756352765322,91.556801195814643,0.42040358744394618,0.0018684603886397607,0.0,0.086696562032884908,91.149103139013448,0.76420029895366215,0.0
0.0,0.0,0.0,0.0,0.00088456435205661217,0.18398938522777533,15.712516585581602,4.5272003538257408,2.719593100398054,0.0,0.0,0.27731092436974791,0.0039805395842547548,0.0,0.0017691287041132243,0.88854489164086692,85.285714285714292,5.7452454666076953,0.078283945157010176,0.0,0.25961963732861565,90.924812030075188,0.81556833259619632,0.0,0.0,0.0017691287041132243,91.870853604599731,0.12693498452012383,0.00044228217602830609,0.0,0.0030959752321981426,91.948252985404693,0.048651039363113664,0.0
0.45454545454545453,37.345454545454544,54.163636363636364,0.036363636363636362,0.036363636363636362,5.7454545454545451,55.81818181818182,12.054545454545455,3.1818181818181817,0.0,0.0,0.87272727272727268,0.0,0.0,0.0,1.8181818181818181,83.927272727272722,6.2363636363636363,0.018181818181818181,0.0,0.54545454545454541,91.400000000000006,0.054545454545454543,0.0,0.0,0.0,92.0,0.0,0.0,0.0,0.0,91.818181818181813,0.18181818181818182,0.0
0.29629629629629628,44.777777777777779,46.925925925925924,0.0,0.0,0.85185185185185186,25.148148148148149,4.0,2.7777777777777777,0.0,0.0,0.88888888888888884,0.0,0.0,0.0,0.70370370370370372,80.296296296296291,10.962962962962964,0.037037037037037035,0.0,0.55555555555555558,91.296296296296291,0.14814814814814814,0.0,0.0,0.0,92.0,0.0,0.0,0.0,0.0,91.851851851851848,0.14814814814814814,0.0
0.5625,5.375,86.0625,0.0,0.0,0.0,0.25,0.625,0.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.25,37.6875,1.0625,0.0,0.125,91.875,0.0,0.0,0.0,0.0,92.0,0.0,0.0,0.0,0.0,92.0,0.0,0.0
0.53846153846153844,35.07692307692308,56.384615384615387,0.0,0.0,0.076923076923076927,4.2307692307692308,0.23076923076923078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.076923076923076927,61.92307692307692,30.0,0.0,0.0,0.61538461538461542,91.307692307692307,0.076923076923076927,0.0,0.0,0.0,92.0,0.0,0.0,0.0,0.0,91.769230769230774,0.23076923076923078,0.0
0.0,92.0,0.0,0.0,7.7000000000000002,74.700000000000003,9.3000000000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,85.700000000000003,3.2999999999999998,0.0,0.0,0.0,91.099999999999994,0.90000000000000002,0.0,0.0,0.0,92.0,0.0,0.0,0.0,0.0,91.900000000000006,0.10000000000000001,0.0
0.0,33.0,59.0,0.0,0.0,0.0,78.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,46.0,0.0,0.0,0.0,92.0,0.0,0.0,0.0,0.0,92.0,0.0,0.0,0.0,0.0,92.0,0.0,0.0
16.0,21.0,12.0,43.0,0.0,0.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,91.0,0.0,0.0,0.0,0.0,91.0,1.0,0.0,0.0,0.0,92.0,0.0,0.0,0.0,0.0,92.0,0.0,0.0
