index,start_date,lat,lon,ft_frozen,ft_thawed,ft_trans,ft_itrans,fw_fw_06_swe_-3,fw_fw_06_swe_-2,fw_fw_06_swe_-1,fw_fw_06_swe_+1,fw_fw_06_swe_+2,swe_swe_average_-3,swe_swe_average_-2,swe_swe_average_-1,swe_swe_average_+1,swe_swe_average_+2,energy_sw_up_-3,energy_sw_up_-2,energy_sw_up_-1,energy_sw_up_+1,energy_sw_up_+2,energy_sw_dn_-3,energy_sw_dn_-2,energy_sw_dn_-1,energy_sw_dn_+1,energy_sw_dn_+2,energy_lw_up_-3,energy_lw_up_-2,energy_lw_up_-1,energy_lw_up_+1,energy_lw_up_+2,energy_lw_dn_-3,energy_lw_dn_-2,energy_lw_dn_-1,energy_lw_dn_+1,energy_lw_dn_+2,clusterLabel
7,2000-03-01,19.6795,-155.79903,0,0,0,0,0,1,82,9,0,0,0,0,0,0,0,20,69,3,0,0,11,56,25,0,1,51,40,0,0,0,33,59,0,0,1
14,2000-03-01,21.32913,-158.08727,0,0,0,0,9,22,59,2,0,0,0,0,0,0,0,15,73,4,0,0,13,55,24,0,0,51,41,0,0,1,21,70,0,0,1
17,2000-03-01,19.83736,-155.10158,0,0,0,0,7,23,41,19,2,0,0,0,0,0,0,3,89,0,0,0,14,54,24,0,0,59,33,0,0,1,30,61,0,0,1
25,2000-03-01,13.43787,144.69498,0,0,0,0,0,20,72,0,0,0,0,0,0,0,0,14,78,0,0,1,7,81,3,0,0,0,65,27,0,0,3,68,19,2,1
26,2000-03-01,7.49447,134.51651,0,0,0,0,1,9,82,0,0,0,0,0,0,0,0,11,70,11,0,0,6,82,4,0,0,0,73,19,0,1,4,74,13,0,1
34,2000-03-01,0.61878,128.18423,0,0,0,0,2,19,48,21,2,0,0,0,0,0,0,0,39,35,18,2,25,37,26,0,0,4,86,2,0,0,9,78,5,0,1
41,2000-03-01,2.48924,128.53255,0,0,0,0,0,13,77,2,0,0,0,0,0,0,0,2,87,2,1,0,19,56,17,0,0,0,51,41,0,0,2,80,9,1,1
75,2000-03-01,7.18326,126.29048,0,0,0,0,0,13,58,21,0,0,0,0,0,0,0,0,38,41,11,3,21,56,12,0,0,17,75,0,0,0,2,80,10,0,1
83,2000-03-01,7.11801,126.05241,0,0,0,0,0,10,71,10,1,0,0,0,0,0,0,0,37,41,14,2,21,60,9,0,0,18,74,0,0,0,2,80,10,0,1
84,2000-03-01,6.13935,125.65533,0,0,0,0,0,0,53,31,8,0,0,0,0,0,0,5,58,15,7,1,26,48,17,0,0,16,76,0,0,0,2,83,7,0,1
91,2000-03-01,7.77949,126.1156,0,0,0,0,0,2,90,0,0,0,0,0,0,0,0,0,39,52,1,5,21,55,11,0,0,22,70,0,0,0,2,79,11,0,1
112,2000-03-01,8.13055,125.83765,0,0,0,0,0,1,70,5,8,0,0,0,0,0,0,0,49,43,0,4,14,67,7,0,0,30,62,0,0,0,2,80,10,0,1
137,2000-03-01,6.09609,124.81245,0,0,0,0,0,15,64,13,0,0,0,0,0,0,0,2,68,16,6,5,22,56,9,0,1,33,58,0,0,0,2,88,2,0,1
142,2000-03-01,8.47834,125.55775,0,0,0,0,0,16,46,30,0,0,0,0,0,0,0,0,65,23,4,3,14,66,9,0,0,28,64,0,0,0,1,78,13,0,1
152,2000-03-01,6.01938,124.57794,0,0,0,0,9,18,47,18,0,0,0,0,0,0,0,6,71,14,1,6,18,58,10,0,1,32,59,0,0,0,2,86,4,0,1
153,2000-03-01,0.86404,122.75452,0,0,0,0,3,16,68,5,0,0,0,0,0,0,0,9,39,43,1,3,23,46,20,0,0,10,81,1,0,0,10,74,8,0,1
183,2000-03-01,0.67067,122.31132,0,0,0,0,0,10,82,0,0,0,0,0,0,0,0,0,42,36,14,3,25,45,19,0,0,8,84,0,0,0,9,73,10,0,1
185,2000-03-01,9.71795,125.43605,0,0,0,0,0,3,54,28,7,0,0,0,0,0,1,7,84,0,0,3,4,82,3,0,0,8,84,0,0,0,1,75,16,0,1
190,2000-03-01,7.77233,124.64095,0,0,0,0,0,42,33,6,8,0,0,0,0,0,0,0,85,7,0,4,11,71,6,0,2,32,58,0,0,0,3,87,2,0,1
191,2000-03-01,7.52578,124.54375,0,0,0,0,0,6,55,25,5,0,0,0,0,0,0,0,82,10,0,5,11,70,6,0,2,33,57,0,0,0,4,88,0,0,1
209,2000-03-01,0.73941,121.95436,0,0,0,0,0,7,84,1,0,0,0,0,0,0,0,0,37,37,18,4,15,56,17,0,2,7,80,3,0,0,8,74,10,0,1
223,2000-03-01,1.07295,121.6813,0,0,0,0,0,41,45,4,2,0,0,0,0,0,0,10,43,29,9,4,20,50,18,0,2,6,80,4,0,0,8,76,8,0,1
225,2000-03-01,0.53362,121.51308,0,0,0,0,0,7,72,12,0,0,0,0,0,0,0,0,34,44,14,4,13,51,24,0,2,9,75,6,0,0,8,76,8,0,1
232,2000-03-01,0.69905,121.37634,0,0,0,0,0,9,61,13,9,0,0,0,0,0,0,1,38,45,8,3,15,50,24,0,2,9,75,6,0,0,8,76,8,0,1
242,2000-03-01,8.11756,123.73778,0,0,0,0,1,16,67,8,0,0,0,0,0,0,0,0,64,27,1,4,18,63,4,0,0,23,69,0,0,0,3,88,1,0,1
0,2000-03-01,9.75935,124.1752,0,0,0,0,1,24,63,4,0,0,0,0,0,0,0,0,78,6,5,6,10,64,12,0,0,20,72,0,0,0,2,77,13,0,1
260,2000-03-01,7.53473,123.31063,0,0,0,0,1,17,64,10,0,0,0,0,0,0,0,0,51,39,2,6,14,62,8,0,0,19,73,0,0,0,4,86,2,0,1
267,2000-03-01,11.85389,124.83087,0,0,0,0,3,28,47,14,0,0,0,0,0,0,0,0,77,15,0,2,17,63,9,0,0,18,74,0,0,0,0,74,18,0,1
269,2000-03-01,9.92453,124.03024,0,0,0,0,0,5,87,0,0,0,0,0,0,0,0,0,75,11,5,3,13,63,12,1,0,22,70,0,0,0,5,76,11,0,1
299,2000-03-01,35.26666,140.3828,0,92,0,0,3,12,76,1,0,0,0,0,0,0,0,6,71,15,0,0,14,65,13,0,0,15,67,10,0,1,19,59,11,2,0
303,2000-03-01,9.1843,123.11134,0,0,0,0,2,13,43,32,2,0,0,0,0,0,1,10,71,10,0,2,13,61,15,0,0,31,61,0,0,0,1,81,10,0,1
304,2000-03-01,7.93528,122.64238,0,0,0,0,0,0,78,11,1,0,0,0,0,0,1,15,61,11,4,3,19,62,8,0,0,19,73,0,0,0,1,85,6,0,1
330,2000-03-01,12.1935,123.88918,0,0,0,0,0,23,56,10,3,0,0,0,0,0,0,0,79,11,0,2,11,75,4,0,2,23,66,1,0,0,0,76,16,0,1
356,2000-03-01,10.65336,123.05347,0,0,0,0,0,9,63,18,1,0,0,0,0,0,0,0,73,17,2,9,19,52,12,0,0,27,65,0,0,0,6,82,4,0,1
358,2000-03-01,10.16098,122.86187,0,0,0,0,0,3,65,23,1,0,0,0,0,0,0,0,73,19,0,4,19,62,7,0,0,28,64,0,0,0,5,85,2,0,1
359,2000-03-01,9.91373,122.76681,0,0,0,0,0,21,62,7,2,0,0,0,0,0,0,3,79,10,0,0,23,65,4,0,0,28,64,0,0,0,4,81,7,0,1
383,2000-03-01,36.72474,140.16225,0,0,0,0,0,32,34,26,0,0,0,0,0,0,0,0,58,34,0,0,10,80,2,0,1,23,55,13,0,0,23,52,16,1,1
406,2000-03-01,37.40054,140.5853,0,92,0,0,0,21,71,0,0,0,0,0,0,0,0,0,62,21,9,0,9,80,3,0,1,26,50,15,0,0,22,53,16,1,0
419,2000-03-01,35.26069,138.12213,0,92,0,0,14,19,43,3,0,0,0,0,0,0,0,0,56,35,1,0,8,72,12,0,0,19,61,12,0,0,20,56,15,1,0
427,2000-03-01,11.37443,122.70316,0,0,0,0,0,1,49,40,2,0,0,0,0,0,0,0,68,21,3,5,11,72,2,0,0,26,66,0,0,0,0,83,9,0,1
428,2000-03-01,11.1289,122.60728,0,0,0,0,0,17,55,13,7,0,0,0,0,0,0,0,66,23,3,6,13,71,1,0,0,29,63,0,0,0,1,85,6,0,1
436,2000-03-01,37.11081,139.83795,0,92,0,0,0,9,31,12,0,0,0,0,0,0,0,0,71,21,0,0,8,81,3,0,2,20,57,13,0,0,21,53,17,1,0
442,2000-03-01,36.12289,138.69705,0,92,0,0,0,0,25,31,5,0,0,0,0,0,0,0,63,29,0,0,8,80,4,0,0,23,55,14,0,0,22,53,16,1,0
448,2000-03-01,35.10822,137.59471,0,92,0,0,3,33,46,10,0,0,0,0,0,0,0,0,62,30,0,0,11,72,9,0,0,20,61,11,0,0,21,55,15,1,0
