index,start_date,lat,lon,ft_frozen,ft_thawed,ft_trans,ft_itrans,fw_fw_06_swe_-3,fw_fw_06_swe_-2,fw_fw_06_swe_-1,fw_fw_06_swe_+1,fw_fw_06_swe_+2,swe_swe_average_-3,swe_swe_average_-2,swe_swe_average_-1,swe_swe_average_+1,swe_swe_average_+2,energy_sw_up_-3,energy_sw_up_-2,energy_sw_up_-1,energy_sw_up_+1,energy_sw_up_+2,energy_sw_dn_-3,energy_sw_dn_-2,energy_sw_dn_-1,energy_sw_dn_+1,energy_sw_dn_+2,energy_lw_up_-3,energy_lw_up_-2,energy_lw_up_-1,energy_lw_up_+1,energy_lw_up_+2,energy_lw_dn_-3,energy_lw_dn_-2,energy_lw_dn_-1,energy_lw_dn_+1,energy_lw_dn_+2,clusterLabel
7,1993-12-01,19.6795,-155.79903,0,0,0,0,0,8,28,6,4,0,0,0,0,0,0,3,85,1,1,0,0,86,4,0,0,0,90,0,0,0,0,90,0,0,4
14,1993-12-01,21.32913,-158.08727,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,90,0,0,0,0,86,4,0,0,0,90,0,0,0,0,90,0,0,4
17,1993-12-01,19.83736,-155.10158,0,0,0,0,0,0,83,2,0,0,0,0,0,0,0,8,81,1,0,0,0,86,4,0,0,0,90,0,0,0,0,90,0,0,4
25,1993-12-01,13.43787,144.69498,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,1,89,0,0,0,0,90,0,0,0,0,90,0,0,0,0,90,0,0,4
26,1993-12-01,7.49447,134.51651,0,0,0,0,0,0,89,0,0,0,0,0,0,0,0,6,84,0,0,0,0,90,0,0,0,0,90,0,0,0,0,90,0,0,4
34,1993-12-01,0.61878,128.18423,0,0,0,0,5,0,72,12,0,0,0,0,0,0,0,28,62,0,0,0,0,90,0,0,0,0,90,0,0,0,0,90,0,0,4
41,1993-12-01,2.48924,128.53255,0,0,0,0,0,7,81,1,0,0,0,0,0,0,0,28,62,0,0,0,0,90,0,0,0,0,90,0,0,0,0,90,0,0,4
75,1993-12-01,7.18326,126.29048,0,0,0,0,0,4,81,0,0,0,0,0,0,0,0,30,60,0,0,0,0,87,3,0,0,0,90,0,0,0,0,90,0,0,4
83,1993-12-01,7.11801,126.05241,0,0,0,0,4,6,35,10,0,0,0,0,0,0,0,34,56,0,0,0,0,87,3,0,0,0,90,0,0,0,0,90,0,0,4
84,1993-12-01,6.13935,125.65533,0,0,0,0,0,5,80,0,0,0,0,0,0,0,0,45,45,0,0,0,0,89,1,0,0,0,90,0,0,0,0,90,0,0,4
91,1993-12-01,7.77949,126.1156,0,0,0,0,0,1,79,5,0,0,0,0,0,0,0,20,70,0,0,0,0,85,5,0,0,0,90,0,0,0,0,90,0,0,4
112,1993-12-01,8.13055,125.83765,0,0,0,0,0,16,59,9,0,0,0,0,0,0,0,19,71,0,0,0,0,84,6,0,0,0,90,0,0,0,0,90,0,0,4
137,1993-12-01,6.09609,124.81245,0,0,0,0,0,0,66,18,1,0,0,0,0,0,0,33,57,0,0,0,0,90,0,0,0,0,90,0,0,0,0,90,0,0,4
142,1993-12-01,8.47834,125.55775,0,0,0,0,0,1,73,8,3,0,0,0,0,0,0,22,68,0,0,0,0,87,3,0,0,0,90,0,0,0,0,90,0,0,4
152,1993-12-01,6.01938,124.57794,0,0,0,0,0,6,56,10,13,0,0,0,0,0,0,32,58,0,0,0,0,90,0,0,0,0,90,0,0,0,0,90,0,0,4
153,1993-12-01,0.86404,122.75452,0,0,0,0,0,4,52,0,0,0,0,0,0,0,0,18,72,0,0,0,0,90,0,0,0,0,90,0,0,0,0,90,0,0,4
183,1993-12-01,0.67067,122.31132,0,0,0,0,0,0,20,18,18,0,0,0,0,0,0,7,83,0,0,0,0,90,0,0,0,0,90,0,0,0,0,90,0,0,4
185,1993-12-01,9.71795,125.43605,0,0,0,0,1,9,60,15,0,0,0,0,0,0,0,9,81,0,0,0,0,89,1,0,0,0,90,0,0,0,0,90,0,0,4
190,1993-12-01,7.77233,124.64095,0,0,0,0,0,9,44,10,15,0,0,0,0,0,0,50,40,0,0,0,1,87,2,0,0,0,90,0,0,0,0,90,0,0,4
191,1993-12-01,7.52578,124.54375,0,0,0,0,0,11,39,5,0,0,0,0,0,0,0,43,47,0,0,0,1,87,2,0,0,0,90,0,0,0,0,90,0,0,4
209,1993-12-01,0.73941,121.95436,0,0,0,0,3,8,42,3,0,0,0,0,0,0,0,5,85,0,0,0,0,90,0,0,0,0,90,0,0,0,0,90,0,0,4
223,1993-12-01,1.07295,121.6813,0,0,0,0,0,11,45,0,0,0,0,0,0,0,0,12,78,0,0,0,0,90,0,0,0,0,90,0,0,0,0,90,0,0,4
225,1993-12-01,0.53362,121.51308,0,0,0,0,1,7,45,1,0,0,0,0,0,0,0,2,88,0,0,0,0,90,0,0,0,0,90,0,0,0,0,90,0,0,4
232,1993-12-01,0.69905,121.37634,0,0,0,0,0,1,43,8,2,0,0,0,0,0,0,3,87,0,0,0,0,90,0,0,0,0,90,0,0,0,0,90,0,0,4
242,1993-12-01,8.11756,123.73778,0,0,0,0,0,8,69,2,7,0,0,0,0,0,0,27,63,0,0,0,0,90,0,0,0,0,90,0,0,0,0,90,0,0,4
0,1993-12-01,9.75935,124.1752,0,0,0,0,0,0,71,14,0,0,0,0,0,0,0,26,64,0,0,0,0,90,0,0,0,0,90,0,0,0,0,90,0,0,4
260,1993-12-01,7.53473,123.31063,0,0,0,0,7,11,36,2,0,0,0,0,0,0,0,9,81,0,0,0,0,90,0,0,0,0,90,0,0,0,0,90,0,0,4
267,1993-12-01,11.85389,124.83087,0,0,0,0,0,0,66,19,1,0,0,0,0,0,0,17,73,0,0,0,0,90,0,0,0,0,90,0,0,0,0,90,0,0,4
269,1993-12-01,9.92453,124.03024,0,0,0,0,0,6,78,2,0,0,0,0,0,0,0,46,44,0,0,0,0,89,1,0,0,0,90,0,0,0,0,90,0,0,4
299,1993-12-01,35.26666,140.3828,1,87,0,2,0,9,49,1,0,0,0,0,0,0,0,8,82,0,0,0,0,78,12,0,0,0,90,0,0,0,0,85,5,0,3
303,1993-12-01,9.1843,123.11134,0,0,0,0,0,0,66,20,0,0,0,0,0,0,0,46,44,0,0,0,0,89,1,0,0,0,90,0,0,0,0,90,0,0,4
304,1993-12-01,7.93528,122.64238,0,0,0,0,0,8,68,10,0,0,0,0,0,0,0,26,64,0,0,0,0,90,0,0,0,0,90,0,0,0,0,90,0,0,4
330,1993-12-01,12.1935,123.88918,0,0,0,0,0,0,64,22,0,0,0,0,0,0,0,11,79,0,0,0,0,83,7,0,0,0,90,0,0,0,0,90,0,0,4
356,1993-12-01,10.65336,123.05347,0,0,0,0,0,18,65,3,0,0,0,0,0,0,0,23,67,0,0,0,0,88,2,0,0,0,90,0,0,0,0,90,0,0,4
358,1993-12-01,10.16098,122.86187,0,0,0,0,0,13,72,1,0,0,0,0,0,0,0,23,67,0,0,0,0,90,0,0,0,0,90,0,0,0,0,90,0,0,4
359,1993-12-01,9.91373,122.76681,0,0,0,0,1,4,76,5,0,0,0,0,0,0,0,25,65,0,0,0,0,90,0,0,0,0,90,0,0,0,0,90,0,0,4
383,1993-12-01,36.72474,140.16225,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,23,57,10,0,0,0,79,11,0,0,0,90,0,0,0,0,89,1,0,4
406,1993-12-01,37.40054,140.5853,0,89,1,0,0,0,49,5,0,0,0,0,0,0,0,20,55,15,0,0,0,77,13,0,0,0,90,0,0,0,0,89,1,0,3
419,1993-12-01,35.26069,138.12213,0,88,0,2,0,8,56,7,0,0,0,0,0,0,0,34,51,5,0,0,0,80,10,0,0,0,90,0,0,0,0,88,2,0,3
427,1993-12-01,11.37443,122.70316,0,0,0,0,0,7,49,28,2,0,0,0,0,0,0,20,70,0,0,0,0,86,4,0,0,0,90,0,0,0,0,90,0,0,4
428,1993-12-01,11.1289,122.60728,0,0,0,0,0,4,61,14,5,0,0,0,0,0,0,15,75,0,0,0,0,83,7,0,0,0,90,0,0,0,0,90,0,0,4
436,1993-12-01,37.11081,139.83795,0,90,0,0,0,0,25,6,0,0,0,0,0,0,0,17,56,11,6,0,0,77,13,0,0,0,90,0,0,0,0,89,1,0,3
442,1993-12-01,36.12289,138.69705,0,90,0,0,0,0,21,0,0,0,0,0,0,0,0,22,58,10,0,0,0,78,12,0,0,0,90,0,0,0,0,89,1,0,3
448,1993-12-01,35.10822,137.59471,0,88,1,1,0,0,64,11,10,0,0,0,0,0,0,32,48,7,3,0,0,78,12,0,0,0,90,0,0,0,0,88,2,0,3
455,1993-12-01,11.53144,122.5532,0,0,0,0,0,12,73,0,0,0,0,0,0,0,0,28,62,0,0,0,0,86,4,0,0,0,90,0,0,0,0,90,0,0,4
465,1993-12-01,37.78785,140.26003,0,88,2,0,0,0,6,25,0,0,0,0,0,0,0,17,56,9,8,0,0,77,13,0,0,0,90,0,0,0,0,90,0,0,3
468,1993-12-01,37.30291,139.67416,0,90,0,0,0,0,24,4,0,0,0,0,0,0,0,17,55,13,5,0,0,77,13,0,0,0,88,2,0,0,0,90,0,0,3
495,1993-12-01,1.00641,118.86716,0,0,0,0,0,13,74,0,0,0,0,0,0,0,0,26,64,0,0,0,0,90,0,0,0,0,90,0,0,0,0,90,0,0,4
505,1993-12-01,37.98058,140.0957,0,90,0,0,0,0,23,0,0,0,0,0,0,0,0,17,60,5,8,0,0,77,13,0,0,0,90,0,0,0,0,90,0,0,3
506,1993-12-01,37.81928,139.89909,0,90,0,0,0,0,21,3,7,0,0,0,0,0,0,17,56,10,7,0,0,78,12,0,0,0,89,1,0,0,0,90,0,0,3
