index,start_date,lat,lon,ft_frozen,ft_thawed,ft_trans,ft_itrans,fw_fw_06_swe_-3,fw_fw_06_swe_-2,fw_fw_06_swe_-1,fw_fw_06_swe_+1,fw_fw_06_swe_+2,swe_swe_average_-3,swe_swe_average_-2,swe_swe_average_-1,swe_swe_average_+1,swe_swe_average_+2,energy_sw_up_-3,energy_sw_up_-2,energy_sw_up_-1,energy_sw_up_+1,energy_sw_up_+2,energy_sw_dn_-3,energy_sw_dn_-2,energy_sw_dn_-1,energy_sw_dn_+1,energy_sw_dn_+2,energy_lw_up_-3,energy_lw_up_-2,energy_lw_up_-1,energy_lw_up_+1,energy_lw_up_+2,energy_lw_dn_-3,energy_lw_dn_-2,energy_lw_dn_-1,energy_lw_dn_+1,energy_lw_dn_+2,clusterLabel
7,1994-12-01,19.6795,-155.79903,0,0,0,0,0,1,71,14,4,0,0,0,0,0,0,0,85,5,0,0,0,86,4,0,0,0,90,0,0,0,0,90,0,0,5
14,1994-12-01,21.32913,-158.08727,0,0,0,0,0,0,75,15,0,0,0,0,0,0,0,19,53,18,0,0,0,88,2,0,0,0,90,0,0,0,0,90,0,0,5
17,1994-12-01,19.83736,-155.10158,0,0,0,0,1,11,71,7,0,0,0,0,0,0,0,1,89,0,0,0,0,87,3,0,0,0,90,0,0,0,0,90,0,0,5
25,1994-12-01,13.43787,144.69498,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,88,2,0,0,0,88,2,0,0,0,90,0,0,0,0,90,0,0,5
26,1994-12-01,7.49447,134.51651,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,90,0,0,0,0,90,0,0,0,0,90,0,0,0,0,90,0,0,5
34,1994-12-01,0.61878,128.18423,0,0,0,0,0,1,83,5,1,0,0,0,0,0,0,1,89,0,0,0,0,90,0,0,0,0,90,0,0,0,0,90,0,0,5
41,1994-12-01,2.48924,128.53255,0,0,0,0,0,7,83,0,0,0,0,0,0,0,0,0,90,0,0,0,0,90,0,0,0,0,90,0,0,0,0,90,0,0,5
75,1994-12-01,7.18326,126.29048,0,0,0,0,0,5,80,5,0,0,0,0,0,0,0,1,89,0,0,0,1,87,2,0,0,0,90,0,0,0,0,90,0,0,5
83,1994-12-01,7.11801,126.05241,0,0,0,0,0,2,71,16,1,0,0,0,0,0,0,1,89,0,0,0,0,90,0,0,0,0,90,0,0,0,0,90,0,0,5
84,1994-12-01,6.13935,125.65533,0,0,0,0,7,3,77,3,0,0,0,0,0,0,0,0,90,0,0,0,0,90,0,0,0,0,90,0,0,0,0,90,0,0,5
91,1994-12-01,7.77949,126.1156,0,0,0,0,0,6,82,1,0,0,0,0,0,0,0,1,89,0,0,0,1,88,1,0,0,0,90,0,0,0,0,90,0,0,5
112,1994-12-01,8.13055,125.83765,0,0,0,0,0,12,77,0,0,0,0,0,0,0,0,0,90,0,0,0,1,88,1,0,0,0,90,0,0,0,0,90,0,0,5
137,1994-12-01,6.09609,124.81245,0,0,0,0,0,0,49,39,2,0,0,0,0,0,0,0,90,0,0,0,0,90,0,0,0,0,90,0,0,0,0,90,0,0,5
142,1994-12-01,8.47834,125.55775,0,0,0,0,0,18,56,0,7,0,0,0,0,0,0,0,90,0,0,0,1,87,2,0,0,0,90,0,0,0,0,90,0,0,5
152,1994-12-01,6.01938,124.57794,0,0,0,0,0,0,81,9,0,0,0,0,0,0,0,0,85,5,0,0,0,90,0,0,0,0,90,0,0,0,0,90,0,0,5
153,1994-12-01,0.86404,122.75452,0,0,0,0,0,1,89,0,0,0,0,0,0,0,0,2,88,0,0,0,0,90,0,0,0,0,90,0,0,0,0,90,0,0,5
183,1994-12-01,0.67067,122.31132,0,0,0,0,0,3,72,14,1,0,0,0,0,0,0,8,82,0,0,0,1,89,0,0,0,0,90,0,0,0,0,90,0,0,5
185,1994-12-01,9.71795,125.43605,0,0,0,0,0,0,83,7,0,0,0,0,0,0,0,0,90,0,0,0,0,90,0,0,0,0,90,0,0,0,0,90,0,0,5
190,1994-12-01,7.77233,124.64095,0,0,0,0,0,1,63,24,2,0,0,0,0,0,0,0,90,0,0,0,0,90,0,0,0,0,90,0,0,0,0,90,0,0,5
191,1994-12-01,7.52578,124.54375,0,0,0,0,0,4,59,12,9,0,0,0,0,0,0,0,90,0,0,0,0,90,0,0,0,0,90,0,0,0,0,90,0,0,5
