index,start_date,lat,lon,ft_frozen,ft_thawed,ft_trans,ft_itrans,fw_fw_06_swe_-3,fw_fw_06_swe_-2,fw_fw_06_swe_-1,fw_fw_06_swe_+1,fw_fw_06_swe_+2,swe_swe_average_-3,swe_swe_average_-2,swe_swe_average_-1,swe_swe_average_+1,swe_swe_average_+2,energy_sw_up_-3,energy_sw_up_-2,energy_sw_up_-1,energy_sw_up_+1,energy_sw_up_+2,energy_sw_dn_-3,energy_sw_dn_-2,energy_sw_dn_-1,energy_sw_dn_+1,energy_sw_dn_+2,energy_lw_up_-3,energy_lw_up_-2,energy_lw_up_-1,energy_lw_up_+1,energy_lw_up_+2,energy_lw_dn_-3,energy_lw_dn_-2,energy_lw_dn_-1,energy_lw_dn_+1,energy_lw_dn_+2,clusterLabel
304,1998-06-01,7.93528,122.64238,0,0,0,0,0,3,61,27,1,0,0,0,0,0,0,1,71,20,0,0,0,92,0,0,0,0,92,0,0,0,0,92,0,0,3
330,1998-06-01,12.1935,123.88918,0,0,0,0,0,12,78,2,0,0,0,0,0,0,0,0,79,8,5,0,0,92,0,0,0,0,92,0,0,0,0,92,0,0,3
356,1998-06-01,10.65336,123.05347,0,0,0,0,0,1,85,6,0,0,0,0,0,0,0,0,66,19,7,0,1,91,0,0,0,0,92,0,0,0,0,92,0,0,3
358,1998-06-01,10.16098,122.86187,0,0,0,0,0,16,60,16,0,0,0,0,0,0,0,0,64,23,5,0,1,91,0,0,0,0,92,0,0,0,0,92,0,0,3
359,1998-06-01,9.91373,122.76681,0,0,0,0,0,11,80,1,0,0,0,0,0,0,0,0,66,24,2,0,0,92,0,0,0,0,92,0,0,0,0,92,0,0,3
383,1998-06-01,36.72474,140.16225,0,0,0,0,0,0,69,19,1,0,0,0,0,0,0,0,29,61,2,0,2,89,1,0,0,0,92,0,0,0,0,92,0,0,20
406,1998-06-01,37.40054,140.5853,0,92,0,0,0,18,72,2,0,0,0,0,0,0,0,0,35,50,7,0,1,91,0,0,0,0,92,0,0,0,0,92,0,0,18
419,1998-06-01,35.26069,138.12213,0,92,0,0,0,29,63,0,0,0,0,0,0,0,0,0,31,60,1,0,0,92,0,0,0,0,92,0,0,0,0,92,0,0,19
427,1998-06-01,11.37443,122.70316,0,0,0,0,0,8,83,1,0,0,0,0,0,0,0,2,70,20,0,0,0,92,0,0,0,0,92,0,0,0,0,92,0,0,3
428,1998-06-01,11.1289,122.60728,0,0,0,0,0,27,65,0,0,0,0,0,0,0,0,0,70,19,3,0,0,92,0,0,0,0,92,0,0,0,0,92,0,0,3
436,1998-06-01,37.11081,139.83795,0,92,0,0,0,0,64,12,7,0,0,0,0,0,0,0,37,55,0,0,0,92,0,0,0,0,92,0,0,0,0,92,0,0,19
442,1998-06-01,36.12289,138.69705,0,92,0,0,0,0,41,1,2,0,0,0,0,0,0,0,32,58,2,0,0,92,0,0,0,0,92,0,0,0,0,92,0,0,19
448,1998-06-01,35.10822,137.59471,0,92,0,0,0,22,69,1,0,0,0,0,0,0,0,0,35,51,6,0,1,91,0,0,0,0,92,0,0,0,0,92,0,0,18
455,1998-06-01,11.53144,122.5532,0,0,0,0,0,0,70,17,4,0,0,0,0,0,0,4,76,12,0,0,0,92,0,0,0,0,92,0,0,0,0,92,0,0,3
465,1998-06-01,37.78785,140.26003,0,92,0,0,0,0,71,20,0,0,0,0,0,0,0,0,33,52,7,0,2,90,0,0,0,0,92,0,0,0,0,92,0,0,18
468,1998-06-01,37.30291,139.67416,0,92,0,0,0,0,68,13,0,0,0,0,0,0,0,0,40,52,0,0,0,92,0,0,0,0,92,0,0,0,0,92,0,0,18
495,1998-06-01,1.00641,118.86716,0,0,0,0,0,0,70,22,0,0,0,0,0,0,0,0,91,1,0,0,0,92,0,0,0,0,92,0,0,0,0,92,0,0,3
505,1998-06-01,37.98058,140.0957,0,92,0,0,0,0,52,18,1,0,0,0,0,0,0,0,36,50,6,0,1,91,0,0,0,0,92,0,0,0,0,92,0,0,18
506,1998-06-01,37.81928,139.89909,0,92,0,0,0,0,78,10,0,0,0,0,0,0,0,0,38,53,1,0,0,92,0,0,0,0,92,0,0,0,0,92,0,0,2
521,1998-06-01,35.30959,137.08257,0,0,0,0,0,0,79,12,1,0,0,0,0,0,0,0,38,52,2,0,0,92,0,0,0,0,92,0,0,0,0,92,0,0,20
528,1998-06-01,33.90434,135.67802,0,92,0,0,2,25,65,0,0,0,0,0,0,0,0,0,47,45,0,0,0,92,0,0,0,0,92,0,0,0,0,92,0,0,18
538,1998-06-01,39.28292,141.34019,0,92,0,0,0,22,68,1,0,0,0,0,0,0,0,0,24,68,0,0,0,92,0,0,0,0,92,0,0,0,0,92,0,0,19
545,1998-06-01,38.17268,139.93024,0,92,0,0,0,0,91,0,0,0,0,0,0,0,0,0,38,48,6,0,0,92,0,0,0,0,92,0,0,0,0,92,0,0,2
547,1998-06-01,37.84848,139.53777,0,92,0,0,0,2,78,6,6,0,0,0,0,0,0,0,49,37,6,0,0,92,0,0,0,0,92,0,0,0,0,92,0,0,2
553,1998-06-01,36.85765,138.38739,0,92,0,0,0,0,72,14,0,0,0,0,0,0,0,0,40,49,3,0,1,90,1,0,0,0,92,0,0,0,0,92,0,0,2
564,1998-06-01,34.97226,136.38036,0,92,0,0,0,1,87,4,0,0,0,0,0,0,0,0,45,47,0,0,0,92,0,0,0,0,92,0,0,0,0,92,0,0,2
574,1998-06-01,1.03258,118.50776,0,0,0,0,0,22,66,4,0,0,0,0,0,0,0,0,90,2,0,0,0,92,0,0,0,0,92,0,0,0,0,92,0,0,3
577,1998-06-01,39.63329,141.38156,0,92,0,0,0,0,80,11,1,0,0,0,0,0,0,0,46,46,0,0,1,91,0,0,0,0,92,0,0,0,0,92,0,0,2
584,1998-06-01,38.52555,139.96179,0,92,0,0,0,10,70,0,11,0,0,0,0,0,0,0,42,45,5,0,0,92,0,0,0,0,92,0,0,0,0,92,0,0,18
586,1998-06-01,38.20203,139.56665,0,92,0,0,1,4,54,27,6,0,0,0,0,0,0,0,50,42,0,0,0,92,0,0,0,0,92,0,0,0,0,92,0,0,18
596,1998-06-01,36.53906,137.65889,0,92,0,0,0,0,78,4,10,0,0,0,0,0,0,0,37,55,0,0,1,91,0,0,0,0,92,0,0,0,0,92,0,0,2
617,1998-06-01,39.98313,141.42348,0,92,0,0,0,0,92,0,0,0,0,0,0,0,0,0,54,38,0,0,3,89,0,0,0,0,92,0,0,0,1,91,0,0,2
635,1998-06-01,35.51472,136.21887,0,92,0,0,3,16,63,10,0,0,0,0,0,0,0,0,54,38,0,0,0,92,0,0,0,0,92,0,0,0,0,92,0,0,2
648,1998-06-01,40.1773,141.25661,0,92,0,0,0,0,86,0,0,0,0,0,0,0,0,0,57,35,0,0,1,91,0,0,0,0,92,0,0,0,1,91,0,0,2
661,1998-06-01,35.87294,136.22633,0,92,0,0,0,3,87,2,0,0,0,0,0,0,0,0,74,18,0,0,0,92,0,0,0,0,92,0,0,0,0,92,0,0,2
670,1998-06-01,33.90434,134.32198,0,92,0,0,8,24,55,5,0,0,0,0,0,0,0,0,45,43,4,0,3,89,0,0,0,0,92,0,0,0,0,92,0,0,18
