index,start_date,lat,lon,ft_frozen,ft_thawed,ft_trans,ft_itrans,fw_fw_06_swe_-3,fw_fw_06_swe_-2,fw_fw_06_swe_-1,fw_fw_06_swe_+1,fw_fw_06_swe_+2,swe_swe_average_-3,swe_swe_average_-2,swe_swe_average_-1,swe_swe_average_+1,swe_swe_average_+2,energy_sw_up_-3,energy_sw_up_-2,energy_sw_up_-1,energy_sw_up_+1,energy_sw_up_+2,energy_sw_dn_-3,energy_sw_dn_-2,energy_sw_dn_-1,energy_sw_dn_+1,energy_sw_dn_+2,energy_lw_up_-3,energy_lw_up_-2,energy_lw_up_-1,energy_lw_up_+1,energy_lw_up_+2,energy_lw_dn_-3,energy_lw_dn_-2,energy_lw_dn_-1,energy_lw_dn_+1,energy_lw_dn_+2,clusterLabel
7,1994-09-01,19.6795,-155.79903,0,0,0,0,0,1,76,12,1,0,0,0,0,0,0,0,73,17,1,0,1,88,2,0,0,0,91,0,0,0,0,91,0,0,2
14,1994-09-01,21.32913,-158.08727,0,0,0,0,0,0,89,2,0,0,0,0,0,0,0,0,55,35,1,0,0,90,1,0,0,0,91,0,0,0,0,91,0,0,2
17,1994-09-01,19.83736,-155.10158,0,0,0,0,0,11,65,15,0,0,0,0,0,0,0,0,75,14,2,0,0,88,3,0,0,0,91,0,0,0,0,91,0,0,2
25,1994-09-01,13.43787,144.69498,0,0,0,0,0,9,74,8,0,0,0,0,0,0,0,0,36,36,15,0,0,91,0,0,0,0,91,0,0,0,0,91,0,0,1
26,1994-09-01,7.49447,134.51651,0,0,0,0,0,2,83,6,0,0,0,0,0,0,0,0,11,47,33,0,0,91,0,0,0,0,91,0,0,0,0,91,0,0,1
34,1994-09-01,0.61878,128.18423,0,0,0,0,1,13,57,7,11,0,0,0,0,0,0,0,90,1,0,0,0,91,0,0,0,0,91,0,0,0,0,91,0,0,2
41,1994-09-01,2.48924,128.53255,0,0,0,0,0,1,90,0,0,0,0,0,0,0,0,0,67,24,0,0,0,91,0,0,0,0,91,0,0,0,0,91,0,0,2
75,1994-09-01,7.18326,126.29048,0,0,0,0,0,5,86,0,0,0,0,0,0,0,0,0,91,0,0,0,0,91,0,0,0,0,91,0,0,0,0,91,0,0,2
83,1994-09-01,7.11801,126.05241,0,0,0,0,0,0,72,15,3,0,0,0,0,0,0,0,91,0,0,0,0,91,0,0,0,0,91,0,0,0,0,91,0,0,2
84,1994-09-01,6.13935,125.65533,0,0,0,0,16,23,45,7,0,0,0,0,0,0,0,0,87,4,0,0,0,91,0,0,0,0,91,0,0,0,0,91,0,0,2
91,1994-09-01,7.77949,126.1156,0,0,0,0,0,8,78,0,5,0,0,0,0,0,0,0,91,0,0,0,0,91,0,0,0,0,91,0,0,0,0,91,0,0,2
112,1994-09-01,8.13055,125.83765,0,0,0,0,0,14,67,0,0,0,0,0,0,0,0,1,90,0,0,0,1,90,0,0,0,0,91,0,0,0,0,91,0,0,2
137,1994-09-01,6.09609,124.81245,0,0,0,0,0,21,56,6,8,0,0,0,0,0,0,0,82,9,0,0,0,91,0,0,0,0,91,0,0,0,0,91,0,0,2
142,1994-09-01,8.47834,125.55775,0,0,0,0,0,15,71,0,0,0,0,0,0,0,0,0,91,0,0,0,1,90,0,0,0,0,91,0,0,0,0,91,0,0,2
152,1994-09-01,6.01938,124.57794,0,0,0,0,12,16,60,1,0,0,0,0,0,0,0,0,75,16,0,0,0,91,0,0,0,0,91,0,0,0,0,91,0,0,2
153,1994-09-01,0.86404,122.75452,0,0,0,0,1,29,61,0,0,0,0,0,0,0,0,1,90,0,0,0,0,91,0,0,0,0,91,0,0,0,0,91,0,0,2
183,1994-09-01,0.67067,122.31132,0,0,0,0,0,0,81,10,0,0,0,0,0,0,0,0,91,0,0,0,0,91,0,0,0,0,91,0,0,0,0,91,0,0,2
185,1994-09-01,9.71795,125.43605,0,0,0,0,0,10,49,26,5,0,0,0,0,0,0,0,49,27,15,0,0,91,0,0,0,0,91,0,0,0,0,91,0,0,1
190,1994-09-01,7.77233,124.64095,0,0,0,0,0,1,62,28,0,0,0,0,0,0,0,0,90,1,0,0,0,91,0,0,0,0,91,0,0,0,0,91,0,0,2
191,1994-09-01,7.52578,124.54375,0,0,0,0,0,12,79,0,0,0,0,0,0,0,0,0,90,1,0,0,0,91,0,0,0,0,91,0,0,0,0,91,0,0,2
209,1994-09-01,0.73941,121.95436,0,0,0,0,0,6,83,2,0,0,0,0,0,0,0,1,90,0,0,0,0,91,0,0,0,0,91,0,0,0,0,91,0,0,2
223,1994-09-01,1.07295,121.6813,0,0,0,0,0,20,71,0,0,0,0,0,0,0,0,0,88,3,0,0,0,91,0,0,0,0,91,0,0,0,0,91,0,0,2
225,1994-09-01,0.53362,121.51308,0,0,0,0,0,7,62,22,0,0,0,0,0,0,0,2,89,0,0,0,0,91,0,0,0,0,91,0,0,0,0,91,0,0,2
