index,start_date,lat,lon,ft_frozen,ft_thawed,ft_trans,ft_itrans,fw_fw_06_swe_-3,fw_fw_06_swe_-2,fw_fw_06_swe_-1,fw_fw_06_swe_+1,fw_fw_06_swe_+2,swe_swe_average_-3,swe_swe_average_-2,swe_swe_average_-1,swe_swe_average_+1,swe_swe_average_+2,energy_sw_up_-3,energy_sw_up_-2,energy_sw_up_-1,energy_sw_up_+1,energy_sw_up_+2,energy_sw_dn_-3,energy_sw_dn_-2,energy_sw_dn_-1,energy_sw_dn_+1,energy_sw_dn_+2,energy_lw_up_-3,energy_lw_up_-2,energy_lw_up_-1,energy_lw_up_+1,energy_lw_up_+2,energy_lw_dn_-3,energy_lw_dn_-2,energy_lw_dn_-1,energy_lw_dn_+1,energy_lw_dn_+2
632,1993-03-01,36.03784,136.75699,0,82,10,0,0,19,21,0,0,0,0,0,0,0,0,4,84,4,0,0,13,64,14,1,1,21,59,10,1,0,29,52,10,1
655,1993-03-01,37.92265,138.45175,0,0,0,0,10,10,62,7,0,0,0,0,0,0,0,0,66,19,7,0,14,64,14,0,0,22,60,10,0,0,25,58,9,0
706,1993-03-01,12.60761,121.48939,0,0,0,0,0,24,68,0,0,0,0,0,0,0,0,5,87,0,0,1,6,64,21,0,1,5,51,23,12,3,20,61,6,0
713,1993-03-01,46.00672,150.06848,0,0,0,0,2,15,62,13,0,0,0,0,0,0,0,1,91,0,0,0,17,55,20,0,0,0,92,0,0,0,12,69,11,0
740,1993-03-01,33.52048,133.31532,0,92,0,0,0,38,54,0,0,0,0,0,0,0,0,17,75,0,0,0,16,54,22,0,2,22,55,13,0,2,27,53,9,1
756,1993-03-01,1.49746,117.72092,0,0,0,0,0,7,73,2,0,0,0,0,0,0,0,35,57,0,0,0,8,68,16,0,0,12,60,15,5,0,8,66,16,0
759,1993-03-01,0.6578,117.49719,0,0,0,0,5,25,54,6,1,0,0,0,0,0,0,39,53,0,0,0,11,67,14,0,1,5,70,13,3,1,1,70,19,0
762,1993-03-01,52.17063,-174.4278,0,0,0,0,0,2,62,27,1,0,0,0,0,0,0,7,53,12,12,0,19,58,15,0,0,2,77,13,0,0,15,70,7,0
820,1993-03-01,43.35999,144.09824,2,62,28,0,4,11,15,0,0,0,0,0,0,0,0,14,67,11,0,0,13,63,16,0,0,24,52,16,0,0,20,59,13,0
850,1993-03-01,14.52513,121.59544,0,0,0,0,0,8,72,12,0,0,0,0,0,0,0,34,58,0,0,3,15,51,23,0,0,3,49,29,11,3,24,58,7,0
866,1993-03-01,1.22952,117.28571,0,0,0,0,0,0,21,11,2,0,0,0,0,0,0,38,54,0,0,1,8,67,16,0,1,9,66,12,4,0,3,74,13,0
883,1993-03-01,35.33894,133.95837,0,89,2,1,0,10,63,19,0,0,0,0,0,0,3,6,83,0,0,0,15,59,18,0,0,20,58,13,1,0,26,55,10,1
931,1993-03-01,43.31792,143.07321,1,62,29,0,0,3,22,0,0,0,0,0,0,0,0,6,86,0,0,0,13,63,16,0,0,24,56,12,0,0,19,63,10,0
943,1993-03-01,34.40434,132.77769,0,92,0,0,1,15,56,20,0,0,0,0,0,0,0,16,76,0,0,0,13,55,24,0,3,20,57,11,1,0,27,53,11,1
996,1993-03-01,42.91513,142.00127,1,68,23,0,0,6,31,1,0,0,0,56,0,0,11,8,68,5,0,0,13,58,21,0,0,17,64,11,0,0,20,62,10,0
1011,1993-03-01,33.24908,131.47597,0,92,0,0,0,1,91,0,0,0,0,0,0,0,0,13,79,0,0,0,12,57,23,0,3,19,52,18,0,1,27,50,13,1
1016,1993-03-01,32.28132,130.70261,0,92,0,0,1,9,53,15,0,0,0,0,0,0,0,15,77,0,0,1,10,64,17,0,3,15,62,12,0,1,28,50,13,0
1017,1993-03-01,32.08588,130.5508,0,92,0,0,0,1,84,7,0,0,0,0,0,0,0,14,78,0,0,1,11,64,16,0,3,15,63,11,0,1,28,51,12,0
1031,1993-03-01,14.48161,120.93219,0,0,0,0,0,9,83,0,0,0,0,0,0,0,0,18,74,0,0,1,12,57,22,0,0,1,53,29,9,5,16,63,7,1
1078,1993-03-01,34.5609,132.25739,0,92,0,0,0,27,63,2,0,0,0,0,0,0,0,16,76,0,0,0,15,55,22,0,3,20,56,12,1,1,25,54,11,1
1169,1993-03-01,15.26165,120.80451,0,0,0,0,2,13,75,2,0,0,0,0,0,0,0,16,76,0,0,0,6,70,15,1,0,1,62,20,9,2,17,68,5,0
1170,1993-03-01,15.0177,120.70968,0,0,0,0,0,2,88,2,0,0,0,0,0,0,0,14,78,0,0,0,5,72,14,1,0,1,60,23,8,5,15,67,5,0
1175,1993-03-01,5.51838,117.53989,0,0,0,0,0,16,69,0,0,0,0,0,0,0,0,26,66,0,0,0,10,61,20,1,0,7,71,10,4,6,12,59,13,0
1193,1993-03-01,0.52875,116.20695,0,0,0,0,0,0,60,3,3,0,0,0,0,0,0,26,66,0,0,0,13,60,19,0,2,4,59,24,3,2,3,76,10,0
1204,1993-03-01,43.64613,141.69801,9,45,35,3,1,10,16,0,0,0,0,0,0,0,2,32,58,0,0,0,14,56,22,0,0,17,62,13,0,0,18,64,10,0
1216,1993-03-01,33.56145,130.78229,0,0,0,0,0,6,86,0,0,0,0,0,0,0,0,15,77,0,0,0,14,64,14,0,2,19,54,17,0,2,24,53,12,1
1255,1993-03-01,2.08136,116.41982,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,26,66,0,0,0,5,66,20,1,0,4,69,15,4,2,5,76,8,0
1267,1993-03-01,44.14153,141.97276,10,40,36,6,0,4,21,0,0,0,0,81,0,0,0,16,68,5,3,0,15,56,21,0,0,17,62,13,0,0,19,63,10,0
1268,1993-03-01,43.99032,141.74557,7,56,27,2,0,0,46,19,0,0,0,60,0,0,2,28,62,0,0,0,14,57,21,0,0,16,64,12,0,0,18,64,10,0
1269,1993-03-01,43.83827,141.51981,0,0,0,0,9,34,49,0,0,0,0,0,0,0,0,38,54,0,0,0,15,53,24,0,0,13,67,12,0,0,18,65,9,0
1279,1993-03-01,32.74992,129.83569,0,0,0,0,8,10,50,12,10,0,0,0,0,0,0,6,85,1,0,0,16,56,20,0,3,18,55,16,0,1,27,50,14,0
1280,1993-03-01,18.19647,121.55713,0,0,0,0,0,0,92,0,0,0,0,0,0,0,2,29,61,0,0,4,14,59,15,0,2,20,57,12,1,6,13,69,3,0
1305,1993-03-01,4.43797,116.86192,0,0,0,0,0,0,33,4,0,0,0,0,0,0,0,33,59,0,0,3,14,61,14,0,0,6,74,11,1,2,12,64,13,0
1342,1993-03-01,15.93757,120.4181,0,0,0,0,3,15,73,1,0,0,0,0,0,0,0,16,75,1,0,0,10,65,15,2,0,0,71,16,5,5,14,67,6,0
1350,1993-03-01,5.66632,117.0156,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,33,59,0,0,0,8,67,16,1,0,11,68,11,2,6,12,56,16,0
1353,1993-03-01,4.84999,116.78857,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,27,65,0,0,2,16,59,14,1,0,7,73,10,2,3,9,62,16,0
1436,1993-03-01,17.19238,120.47517,0,0,0,0,0,10,54,21,6,0,0,0,0,0,2,18,59,13,0,0,12,65,15,0,1,20,56,15,0,5,20,60,7,0
1455,1993-03-01,2.9119,115.90651,0,0,0,0,0,0,13,13,5,0,0,0,0,0,0,10,82,0,0,2,4,64,22,0,0,4,64,21,2,2,8,74,7,0
1458,1993-03-01,2.06893,115.6937,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,23,69,0,0,0,10,65,16,1,0,4,53,31,3,4,7,74,6,0
1471,1993-03-01,52.13594,157.16635,37,23,31,1,0,0,0,0,0,0,25,67,0,0,0,10,63,19,0,0,16,52,24,0,0,10,72,10,0,0,27,56,9,0
1481,1993-03-01,16.3628,119.93151,0,0,0,0,0,11,69,12,0,0,0,0,0,0,0,21,68,3,0,0,8,76,8,0,0,6,73,12,1,6,22,60,4,0
1491,1993-03-01,4.98619,116.26664,0,0,0,0,0,0,40,9,0,0,0,0,0,0,0,25,67,0,0,1,19,57,14,1,0,3,80,7,2,1,12,57,20,0
1497,1993-03-01,3.32672,115.83053,0,0,0,0,0,0,0,10,4,0,0,0,0,0,0,12,80,0,0,0,8,63,21,0,0,3,71,15,2,1,10,72,8,0
1517,1993-03-01,6.21206,116.41408,0,0,0,0,0,12,59,16,5,0,0,0,0,0,0,32,56,1,3,1,6,68,17,0,0,12,75,5,0,5,11,55,19,0
1518,1993-03-01,5.94046,116.33918,0,0,0,0,0,3,45,9,31,0,0,0,0,0,0,37,52,3,0,0,8,62,22,0,0,6,78,8,0,4,12,54,20,0
1539,1993-03-01,0.05333,114.85311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,79,0,0,1,8,65,18,0,0,1,47,28,14,2,4,75,9,2
1553,1993-03-01,34.51621,129.34052,0,0,0,0,0,1,37,51,3,0,0,0,0,0,0,10,77,5,0,0,13,62,17,0,0,14,66,12,0,2,21,59,9,1
1575,1993-03-01,0.18682,114.70823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,83,0,0,1,8,64,19,0,0,1,48,22,19,2,4,75,9,2
1594,1993-03-01,5.3883,115.81613,0,0,0,0,0,26,66,0,0,0,0,0,0,0,1,19,69,3,0,1,14,60,16,1,0,6,77,9,0,1,13,57,20,0
1619,1993-03-01,53.72513,159.27444,12,32,46,2,0,0,0,0,0,0,0,0,0,0,0,16,58,15,3,0,16,55,21,0,1,19,67,5,0,0,20,63,9,0
1621,1993-03-01,53.55458,158.60019,30,25,37,0,0,0,0,0,0,0,0,0,0,0,0,14,62,15,1,0,16,55,21,0,0,20,68,4,0,0,23,60,9,0
1634,1993-03-01,5.52061,115.66519,0,0,0,0,0,18,72,2,0,0,0,0,0,0,0,14,72,3,3,2,11,58,19,2,0,6,78,8,0,1,13,56,21,0
1690,1993-03-01,1.44555,114.47068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,81,0,0,2,14,52,24,0,0,2,44,24,18,3,9,67,12,1
1696,1993-03-01,55.01861,-162.86971,0,0,0,0,14,24,53,1,0,0,0,0,0,0,0,5,56,13,9,1,16,51,24,0,0,7,64,19,1,0,8,67,17,0
1715,1993-03-01,47.4069,142.26111,13,35,37,7,0,0,53,2,15,0,0,75,6,0,0,8,55,15,14,0,17,52,23,0,1,19,61,11,0,0,16,67,9,0
1739,1993-03-01,0.42231,114.05996,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,17,75,0,0,0,7,65,20,0,0,0,42,19,20,2,4,70,14,2
1745,1993-03-01,54.87653,160.9744,30,16,46,0,0,0,0,0,0,0,0,0,0,0,0,18,74,0,0,0,16,57,19,0,1,25,47,19,0,1,10,72,9,0
1768,1993-03-01,35.31393,128.39154,0,86,4,2,0,13,37,15,22,0,0,0,0,0,0,15,77,0,0,0,15,57,20,0,2,18,55,17,0,1,22,60,7,2
1778,1993-03-01,22.81218,121.03363,0,0,0,0,0,3,73,16,0,0,0,0,0,0,1,23,68,0,0,4,11,59,18,0,5,12,60,13,2,3,14,69,6,0
1791,1993-03-01,2.27619,114.30933,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,22,70,0,0,2,5,65,20,0,0,3,44,30,13,3,12,64,12,1
1839,1993-03-01,23.41442,121.0694,0,0,0,0,0,15,74,2,0,0,0,0,0,0,0,19,73,0,0,1,15,58,18,0,5,11,63,12,1,3,16,65,8,0
1878,1993-03-01,54.38238,156.89819,45,18,29,0,0,0,1,0,0,0,14,67,0,0,0,1,71,20,0,0,16,54,22,0,0,19,60,13,0,0,20,59,13,0
1902,1993-03-01,25.15822,121.64882,0,0,0,0,0,15,75,2,0,0,0,0,0,0,4,20,68,0,0,0,6,74,12,0,4,20,59,9,0,3,19,57,13,0
1910,1993-03-01,23.32166,120.7879,0,0,0,0,0,1,75,14,2,0,0,0,0,0,0,19,73,0,0,2,15,57,18,0,5,11,60,13,3,3,16,66,7,0
1927,1993-03-01,0.80682,113.62019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,67,0,0,1,6,65,20,0,0,2,38,20,18,2,4,68,16,2
1956,1993-03-01,43.8063,135.40634,6,56,23,7,1,11,68,10,2,0,0,22,3,12,2,27,63,0,0,0,12,58,22,0,0,10,68,14,0,0,16,63,13,0
1969,1993-03-01,35.38189,127.50867,0,91,1,0,5,24,52,9,0,0,0,0,0,0,0,9,83,0,0,0,12,64,16,0,1,20,53,18,0,1,23,58,8,2
1978,1993-03-01,24.3831,121.03511,0,0,0,0,0,20,46,11,7,0,0,0,0,0,0,33,58,1,0,0,9,66,17,0,4,18,57,13,0,4,15,62,11,0
1990,1993-03-01,3.22677,113.99581,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,26,66,0,0,2,12,57,21,0,0,3,52,20,14,1,11,62,17,1
1994,1993-03-01,2.08668,113.73166,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,22,70,0,0,1,8,65,18,0,0,2,45,22,15,0,12,60,19,1
