index,start_date,lat,lon,ft_frozen,ft_thawed,ft_trans,ft_itrans,fw_fw_06_swe_-3,fw_fw_06_swe_-2,fw_fw_06_swe_-1,fw_fw_06_swe_+1,fw_fw_06_swe_+2,swe_swe_average_-3,swe_swe_average_-2,swe_swe_average_-1,swe_swe_average_+1,swe_swe_average_+2,energy_sw_up_-3,energy_sw_up_-2,energy_sw_up_-1,energy_sw_up_+1,energy_sw_up_+2,energy_sw_dn_-3,energy_sw_dn_-2,energy_sw_dn_-1,energy_sw_dn_+1,energy_sw_dn_+2,energy_lw_up_-3,energy_lw_up_-2,energy_lw_up_-1,energy_lw_up_+1,energy_lw_up_+2,energy_lw_dn_-3,energy_lw_dn_-2,energy_lw_dn_-1,energy_lw_dn_+1,energy_lw_dn_+2
8,1993-12-01,19.7921,-155.97781,0,0,0,0,0,3,40,5,0,0,0,0,0,0,0,5,84,1,0,0,0,86,4,0,0,0,90,0,0,0,0,90,0,0
15,1993-12-01,22.02062,-159.39676,0,0,0,0,0,0,52,3,0,0,0,0,0,0,0,1,89,0,0,0,0,83,7,0,0,0,90,0,0,0,0,90,0,0
25,1993-12-01,13.43787,144.69498,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,1,89,0,0,0,0,90,0,0,0,0,90,0,0,0,0,90,0,0
26,1993-12-01,7.49447,134.51651,0,0,0,0,0,0,89,0,0,0,0,0,0,0,0,6,84,0,0,0,0,90,0,0,0,0,90,0,0,0,0,90,0,0
44,1993-12-01,0.50879,127.73455,0,0,0,0,0,9,74,1,0,0,0,0,0,0,0,32,58,0,0,0,0,90,0,0,0,0,90,0,0,0,0,90,0,0
51,1993-12-01,1.64475,127.77568,0,0,0,0,5,26,58,0,0,0,0,0,0,0,0,15,72,3,0,0,0,90,0,0,0,0,90,0,0,0,0,90,0,0
63,1993-12-01,1.38789,124.67474,0,0,0,0,0,5,37,5,0,0,0,0,0,0,0,6,81,3,0,0,0,90,0,0,0,0,90,0,0,0,0,90,0,0
92,1993-12-01,7.53741,126.0148,0,0,0,0,0,16,52,16,0,0,0,0,0,0,0,21,69,0,0,0,0,85,5,0,0,0,90,0,0,0,0,90,0,0
94,1993-12-01,6.31557,125.51804,0,0,0,0,0,16,37,2,0,0,0,0,0,0,0,40,50,0,0,0,0,89,1,0,0,0,90,0,0,0,0,90,0,0
106,1993-12-01,6.24418,125.28251,0,0,0,0,0,1,34,14,4,0,0,0,0,0,0,39,51,0,0,0,0,89,1,0,0,0,90,0,0,0,0,90,0,0
124,1993-12-01,9.26697,126.10414,0,0,0,0,0,24,60,1,0,0,0,0,0,0,0,39,51,0,0,0,0,89,1,0,0,0,90,0,0,0,0,90,0,0
128,1993-12-01,8.30486,125.69794,0,0,0,0,0,23,51,5,0,0,0,0,0,0,0,19,71,0,0,0,0,85,5,0,0,0,90,0,0,0,0,90,0,0
176,1993-12-01,7.60183,124.78174,0,0,0,0,0,0,59,10,0,0,0,0,0,0,0,45,45,0,0,0,1,86,3,0,0,0,90,0,0,0,0,90,0,0
192,1993-12-01,7.27848,124.44703,0,0,0,0,0,22,61,2,0,0,0,0,0,0,0,39,51,0,0,0,1,89,0,0,0,0,90,0,0,0,0,90,0,0
227,1993-12-01,11.35272,125.26888,0,0,0,0,0,2,56,24,3,0,0,0,0,0,0,18,72,0,0,0,0,90,0,0,0,0,90,0,0,0,0,90,0,0
253,1993-12-01,10.96985,124.67274,0,0,0,0,2,2,60,15,7,0,0,0,0,0,0,32,58,0,0,0,0,90,0,0,0,0,90,0,0,0,0,90,0,0
293,1993-12-01,10.49636,123.83673,0,0,0,0,0,0,69,17,0,0,0,0,0,0,0,53,37,0,0,0,0,88,2,0,0,0,90,0,0,0,0,90,0,0
327,1993-12-01,35.81877,140.25781,0,0,0,0,0,0,5,47,7,0,0,0,0,0,0,20,70,0,0,0,0,79,11,0,0,0,90,0,0,0,0,86,4,0
