index,start_date,lat,lon,ft_frozen,ft_thawed,ft_trans,ft_itrans,fw_fw_06_swe_-3,fw_fw_06_swe_-2,fw_fw_06_swe_-1,fw_fw_06_swe_+1,fw_fw_06_swe_+2,swe_swe_average_-3,swe_swe_average_-2,swe_swe_average_-1,swe_swe_average_+1,swe_swe_average_+2,energy_sw_up_-3,energy_sw_up_-2,energy_sw_up_-1,energy_sw_up_+1,energy_sw_up_+2,energy_sw_dn_-3,energy_sw_dn_-2,energy_sw_dn_-1,energy_sw_dn_+1,energy_sw_dn_+2,energy_lw_up_-3,energy_lw_up_-2,energy_lw_up_-1,energy_lw_up_+1,energy_lw_up_+2,energy_lw_dn_-3,energy_lw_dn_-2,energy_lw_dn_-1,energy_lw_dn_+1,energy_lw_dn_+2
8,1997-03-01,19.7921,-155.97781,0,0,0,0,0,2,67,23,0,0,0,0,0,0,2,17,72,1,0,1,12,54,25,0,0,0,70,20,2,0,3,61,19,9
15,1997-03-01,22.02062,-159.39676,0,0,0,0,0,11,79,2,0,0,0,0,0,0,0,17,75,0,0,0,18,64,10,0,0,0,74,17,1,1,3,78,10,0
25,1997-03-01,13.43787,144.69498,0,0,0,0,7,12,72,0,0,0,0,0,0,0,0,2,90,0,0,4,6,81,1,0,0,9,75,5,3,4,11,68,9,0
26,1997-03-01,7.49447,134.51651,0,0,0,0,10,17,60,1,0,0,0,0,0,0,0,4,76,12,0,0,6,69,16,1,0,33,51,8,0,11,14,62,3,0
44,1997-03-01,0.50879,127.73455,0,0,0,0,0,7,76,9,0,0,0,0,0,0,0,0,60,31,1,3,22,60,7,0,0,14,78,0,0,7,18,65,1,0
51,1997-03-01,1.64475,127.77568,0,0,0,0,0,2,89,1,0,0,0,0,0,0,0,0,75,11,6,2,16,70,4,0,4,23,65,0,0,6,25,57,3,0
63,1997-03-01,1.38789,124.67474,0,0,0,0,0,0,89,3,0,0,0,0,0,0,0,0,76,9,7,1,24,58,9,0,0,16,76,0,0,4,15,71,0,0
92,1997-03-01,7.53741,126.0148,0,0,0,0,0,5,87,0,0,0,0,0,0,0,0,0,46,37,9,7,37,40,8,0,1,24,66,1,0,3,22,56,9,0
94,1997-03-01,6.31557,125.51804,0,0,0,0,0,19,66,7,0,0,0,0,0,0,0,0,43,42,7,5,35,46,6,0,0,18,74,0,0,4,14,60,13,0
106,1997-03-01,6.24418,125.28251,0,0,0,0,0,9,83,0,0,0,0,0,0,0,0,0,48,43,1,4,36,47,5,0,0,12,80,0,0,4,16,59,12,0
124,1997-03-01,9.26697,126.10414,0,0,0,0,0,15,77,0,0,0,0,0,0,0,0,0,40,42,8,0,7,72,11,1,10,19,61,1,0,8,22,56,5,0
128,1997-03-01,8.30486,125.69794,0,0,0,0,0,30,35,18,7,0,0,0,0,0,0,0,12,79,1,1,7,74,10,0,3,19,68,1,1,6,22,53,9,0
176,1997-03-01,7.60183,124.78174,0,0,0,0,0,9,70,13,0,0,0,0,0,0,0,0,81,11,0,4,13,63,11,1,0,20,71,1,0,7,21,55,8,0
192,1997-03-01,7.27848,124.44703,0,0,0,0,0,10,82,0,0,0,0,0,0,0,0,0,77,15,0,4,18,62,6,0,1,17,72,2,0,4,20,57,10,0
227,1997-03-01,11.35272,125.26888,0,0,0,0,2,29,53,8,0,0,0,0,0,0,0,1,72,11,8,5,22,60,5,0,9,12,57,13,1,6,22,52,9,0
253,1997-03-01,10.96985,124.67274,0,0,0,0,0,3,70,19,0,0,0,0,0,0,0,0,74,11,2,5,13,58,16,0,1,14,60,11,6,7,22,52,9,0
293,1997-03-01,10.49636,123.83673,0,0,0,0,0,45,46,1,0,0,0,0,0,0,0,0,82,7,3,2,18,61,9,0,0,10,61,15,6,4,19,62,5,0
327,1997-03-01,35.81877,140.25781,0,0,0,0,0,0,57,35,0,0,0,0,0,0,0,10,66,8,8,0,12,49,29,2,0,11,63,18,0,0,15,56,20,1
329,1997-03-01,12.67306,124.09038,0,0,0,0,0,17,75,0,0,0,0,0,0,0,0,0,86,5,1,1,10,77,2,0,5,11,64,12,0,8,26,50,7,0
337,1997-03-01,9.5061,122.81908,0,0,0,0,0,44,44,4,0,0,0,0,0,0,0,0,89,3,0,0,18,65,9,0,1,10,56,19,6,14,15,60,3,0
339,1997-03-01,7.49715,122.07787,0,0,0,0,1,42,49,0,0,0,0,0,0,0,0,9,74,9,0,0,15,58,18,1,12,5,71,4,0,16,15,59,2,0
367,1997-03-01,36.04387,139.74905,0,0,0,0,0,0,74,12,6,0,0,0,0,0,0,0,76,14,2,0,13,47,28,4,0,14,71,7,0,0,14,58,19,1
372,1997-03-01,35.21725,138.81407,0,92,0,0,0,16,76,0,0,0,0,0,0,0,0,3,72,14,3,1,15,49,27,0,0,11,65,15,1,0,14,58,19,1
382,1997-03-01,36.88592,140.35582,0,92,0,0,0,29,61,2,0,0,0,0,0,0,0,0,77,15,0,0,10,45,37,0,0,11,64,17,0,0,14,59,17,2
444,1997-03-01,35.78761,138.32538,0,92,0,0,0,0,44,0,0,0,0,0,0,0,0,0,81,11,0,0,12,45,30,5,0,8,75,9,0,0,13,59,18,2
461,1997-03-01,38.42358,141.05695,0,91,0,1,0,5,73,14,0,0,0,0,0,0,0,0,63,27,2,0,12,58,22,0,0,19,58,15,0,0,16,57,17,2
511,1997-03-01,37.00134,138.93289,0,81,11,0,0,0,32,0,0,0,0,0,0,0,0,1,86,5,0,0,13,53,26,0,0,13,71,8,0,0,14,58,17,3
522,1997-03-01,35.13641,136.90338,0,0,0,0,0,0,86,6,0,0,0,6,29,8,0,0,61,16,14,0,14,56,22,0,0,11,68,13,0,0,13,60,17,2
530,1997-03-01,13.78602,123.03152,0,0,0,0,0,6,85,1,0,0,0,0,0,0,0,0,68,22,2,1,28,55,8,0,3,7,62,19,1,10,23,49,10,0
538,1997-03-01,39.28292,141.34019,0,88,3,1,0,13,47,5,0,0,0,40,16,0,0,0,54,38,0,0,14,63,15,0,1,17,60,14,0,0,16,60,14,2
588,1997-03-01,37.87544,139.17609,2,75,9,6,1,19,53,19,0,0,0,3,2,3,0,18,73,1,0,0,16,54,22,0,0,11,62,19,0,0,16,58,15,3
608,1997-03-01,34.44735,135.51308,0,0,0,0,0,2,72,14,2,0,0,0,0,0,0,19,42,17,13,0,13,56,23,0,0,16,62,14,0,0,15,59,17,1
632,1997-03-01,36.03784,136.75699,0,82,10,0,0,0,53,2,0,0,0,0,0,0,0,10,51,29,1,0,13,61,18,0,0,12,67,13,0,0,15,56,18,3
655,1997-03-01,37.92265,138.45175,0,0,0,0,0,1,65,26,0,0,0,0,0,0,0,10,79,2,1,0,15,64,13,0,0,17,57,18,0,0,16,59,13,4
706,1997-03-01,12.60761,121.48939,0,0,0,0,2,16,59,7,8,0,0,0,0,0,0,0,77,6,4,1,13,72,5,0,5,6,65,15,1,7,22,50,12,0
713,1997-03-01,46.00672,150.06848,0,0,0,0,0,0,68,18,6,0,0,0,0,0,0,18,74,0,0,0,16,59,17,0,0,0,88,4,0,0,18,69,5,0
740,1997-03-01,33.52048,133.31532,0,92,0,0,0,7,77,8,0,0,0,0,0,0,0,2,45,40,3,1,13,72,6,0,0,11,66,15,0,0,12,62,16,2
756,1997-03-01,1.49746,117.72092,0,0,0,0,0,0,92,0,0,0,0,0,0,0,0,0,46,40,6,6,29,45,12,0,3,15,64,7,3,5,29,54,4,0
759,1997-03-01,0.6578,117.49719,0,0,0,0,0,25,64,3,0,0,0,0,0,0,0,0,49,43,0,6,35,40,11,0,4,13,65,7,3,3,28,55,6,0
762,1997-03-01,52.17063,-174.4278,0,0,0,0,13,27,48,4,0,0,0,0,0,0,0,35,57,0,0,0,15,57,20,0,0,0,89,3,0,0,7,74,9,2
820,1997-03-01,43.35999,144.09824,12,64,16,0,0,14,29,1,2,0,0,0,0,0,0,0,78,4,5,0,14,59,19,0,0,13,69,10,0,0,17,64,10,1
850,1997-03-01,14.52513,121.59544,0,0,0,0,0,13,51,16,12,0,0,0,0,0,0,0,55,29,8,1,28,54,9,0,0,11,61,18,2,9,15,58,9,0
866,1997-03-01,1.22952,117.28571,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,43,46,3,9,27,45,11,0,2,15,64,8,3,2,30,53,7,0
883,1997-03-01,35.33894,133.95837,0,88,4,0,0,5,73,6,1,0,0,0,0,0,0,15,57,19,1,1,13,66,12,0,0,9,65,18,0,0,15,62,11,4
931,1997-03-01,43.31792,143.07321,11,61,20,0,0,2,29,0,0,0,0,0,0,0,0,1,78,13,0,0,14,57,21,0,0,17,62,13,0,0,17,64,9,2
943,1997-03-01,34.40434,132.77769,0,92,0,0,0,1,75,13,3,0,0,0,0,0,0,3,49,36,4,0,12,73,7,0,0,10,67,15,0,0,13,61,16,2
996,1997-03-01,42.91513,142.00127,7,65,20,0,1,3,43,10,0,0,0,81,0,0,0,0,81,11,0,0,15,60,17,0,0,14,69,9,0,0,18,60,12,2
1011,1997-03-01,33.24908,131.47597,0,92,0,0,0,1,90,1,0,0,0,0,0,0,0,3,50,34,3,1,10,72,9,0,0,12,61,18,1,0,14,60,15,3
1016,1997-03-01,32.28132,130.70261,0,92,0,0,0,25,67,0,0,0,0,0,0,0,0,9,45,30,8,1,16,67,8,0,0,10,67,14,1,0,12,62,15,3
1017,1997-03-01,32.08588,130.5508,0,92,0,0,7,20,65,0,0,0,0,0,0,0,0,11,49,29,3,1,18,65,8,0,0,10,69,12,1,0,12,62,17,1
1031,1997-03-01,14.48161,120.93219,0,0,0,0,0,23,66,3,0,0,0,0,0,0,0,0,77,14,1,0,12,72,8,0,1,9,65,16,1,7,19,54,10,0
1078,1997-03-01,34.5609,132.25739,0,92,0,0,0,7,82,3,0,0,0,0,0,0,0,11,41,40,0,0,16,65,11,0,0,9,68,15,0,0,12,62,15,3
1169,1997-03-01,15.26165,120.80451,0,0,0,0,0,23,68,1,0,0,0,0,0,0,0,0,47,39,6,10,34,40,8,0,1,5,79,6,1,4,21,54,10,0
