index,start_date,lat,lon,ft_frozen,ft_thawed,ft_trans,ft_itrans,fw_fw_06_swe_-3,fw_fw_06_swe_-2,fw_fw_06_swe_-1,fw_fw_06_swe_+1,fw_fw_06_swe_+2,swe_swe_average_-3,swe_swe_average_-2,swe_swe_average_-1,swe_swe_average_+1,swe_swe_average_+2,energy_sw_up_-3,energy_sw_up_-2,energy_sw_up_-1,energy_sw_up_+1,energy_sw_up_+2,energy_sw_dn_-3,energy_sw_dn_-2,energy_sw_dn_-1,energy_sw_dn_+1,energy_sw_dn_+2,energy_lw_up_-3,energy_lw_up_-2,energy_lw_up_-1,energy_lw_up_+1,energy_lw_up_+2,energy_lw_dn_-3,energy_lw_dn_-2,energy_lw_dn_-1,energy_lw_dn_+1,energy_lw_dn_+2
8,1983-03-01,19.7921,-155.97781,0,0,0,0,255,255,255,255,255,0,0,0,0,0,8,40,42,2,0,16,16,28,0,0,0,0,8,51,31,0,0,28,42,20
15,1983-03-01,22.02062,-159.39676,0,0,0,0,255,255,255,255,255,0,0,0,0,0,0,23,51,18,0,15,18,25,0,0,0,0,0,42,37,0,0,30,45,17
25,1983-03-01,13.43787,144.69498,0,0,0,0,255,255,255,255,255,0,0,0,0,0,0,8,21,6,22,13,19,24,0,0,0,0,5,50,37,0,0,41,42,9
26,1983-03-01,7.49447,134.51651,0,0,0,0,255,255,255,255,255,0,0,0,0,0,0,12,17,13,36,10,15,41,0,0,0,0,45,47,0,0,4,73,15,0
44,1983-03-01,0.50879,127.73455,0,0,0,0,255,255,255,255,255,0,0,0,0,0,0,9,23,17,19,0,3,74,15,0,0,0,17,18,15,5,17,57,9,0
51,1983-03-01,1.64475,127.77568,0,0,0,0,255,255,255,255,255,0,0,0,0,0,0,5,40,38,6,3,11,76,2,0,0,0,16,33,20,4,10,71,6,0
63,1983-03-01,1.38789,124.67474,0,0,0,0,255,255,255,255,255,0,0,0,0,0,0,2,34,33,18,0,6,86,0,0,0,0,41,38,8,11,20,56,4,0
92,1983-03-01,7.53741,126.0148,0,0,0,0,255,255,255,255,255,0,0,0,0,0,0,16,75,1,0,2,23,55,10,0,1,8,82,1,0,0,5,77,10,0
94,1983-03-01,6.31557,125.51804,0,0,0,0,255,255,255,255,255,0,0,0,0,0,0,20,48,24,0,7,21,56,8,0,0,9,83,0,0,2,5,79,6,0
106,1983-03-01,6.24418,125.28251,0,0,0,0,255,255,255,255,255,0,0,0,0,0,0,28,44,20,0,4,25,55,8,0,0,9,83,0,0,2,4,80,5,0
