index,start_date,lat,lon,ft_frozen,ft_thawed,ft_trans,ft_itrans,fw_fw_06_swe_-3,fw_fw_06_swe_-2,fw_fw_06_swe_-1,fw_fw_06_swe_+1,fw_fw_06_swe_+2,swe_swe_average_-3,swe_swe_average_-2,swe_swe_average_-1,swe_swe_average_+1,swe_swe_average_+2,energy_sw_up_-3,energy_sw_up_-2,energy_sw_up_-1,energy_sw_up_+1,energy_sw_up_+2,energy_sw_dn_-3,energy_sw_dn_-2,energy_sw_dn_-1,energy_sw_dn_+1,energy_sw_dn_+2,energy_lw_up_-3,energy_lw_up_-2,energy_lw_up_-1,energy_lw_up_+1,energy_lw_up_+2,energy_lw_dn_-3,energy_lw_dn_-2,energy_lw_dn_-1,energy_lw_dn_+1,energy_lw_dn_+2
8,1999-03-01,19.7921,-155.97781,0,0,0,0,0,3,83,6,0,0,0,0,0,0,1,15,72,3,1,0,10,66,16,0,12,48,32,0,0,2,18,72,0,0
15,1999-03-01,22.02062,-159.39676,0,0,0,0,0,4,79,8,1,0,0,0,0,0,0,7,85,0,0,0,15,66,11,0,0,29,63,0,0,0,15,70,7,0
25,1999-03-01,13.43787,144.69498,0,0,0,0,0,7,85,0,0,0,0,0,0,0,0,0,53,39,0,0,13,75,4,0,0,0,62,26,4,0,5,65,22,0
26,1999-03-01,7.49447,134.51651,0,0,0,0,0,0,66,26,0,0,0,0,0,0,0,0,73,19,0,1,8,79,3,0,0,0,62,30,0,0,1,83,8,0
44,1999-03-01,0.50879,127.73455,0,0,0,0,0,4,85,3,0,0,0,0,0,0,0,0,42,49,1,1,23,47,20,0,0,9,83,0,0,0,3,89,0,0
51,1999-03-01,1.64475,127.77568,0,0,0,0,0,10,82,0,0,0,0,0,0,0,0,3,51,27,9,7,17,51,14,0,0,0,81,11,0,0,1,83,8,0
63,1999-03-01,1.38789,124.67474,0,0,0,0,0,2,88,2,0,0,0,0,0,0,0,0,68,18,5,2,22,56,10,0,0,0,92,0,0,0,1,91,0,0
92,1999-03-01,7.53741,126.0148,0,0,0,0,0,5,68,14,5,0,0,0,0,0,0,0,18,47,27,5,21,43,23,0,0,18,74,0,0,0,0,82,10,0
94,1999-03-01,6.31557,125.51804,0,0,0,0,0,4,85,3,0,0,0,0,0,0,0,0,8,57,24,3,14,53,22,0,0,9,83,0,0,0,0,84,8,0
106,1999-03-01,6.24418,125.28251,0,0,0,0,0,8,84,0,0,0,0,0,0,0,0,0,16,49,24,2,16,51,23,0,0,19,73,0,0,0,0,84,8,0
124,1999-03-01,9.26697,126.10414,0,0,0,0,0,5,65,20,2,0,0,0,0,0,0,0,38,37,14,6,17,66,3,0,0,6,86,0,0,0,1,70,21,0
128,1999-03-01,8.30486,125.69794,0,0,0,0,0,7,61,14,8,0,0,0,0,0,0,0,6,65,21,9,23,43,17,0,2,24,65,0,0,0,0,77,15,0
176,1999-03-01,7.60183,124.78174,0,0,0,0,0,2,70,13,7,0,0,0,0,0,0,0,37,50,5,5,23,58,5,0,0,35,57,0,0,0,0,86,6,0
192,1999-03-01,7.27848,124.44703,0,0,0,0,0,0,53,31,8,0,0,0,0,0,0,0,20,59,13,10,13,57,12,0,1,38,53,0,0,0,1,87,4,0
227,1999-03-01,11.35272,125.26888,0,0,0,0,0,3,70,16,3,0,0,0,0,0,0,0,46,36,10,4,20,52,16,0,0,8,84,0,0,0,2,71,19,0
253,1999-03-01,10.96985,124.67274,0,0,0,0,0,15,73,4,0,0,0,0,0,0,0,0,67,13,6,4,15,69,3,0,0,15,77,0,0,0,1,78,13,0
293,1999-03-01,10.49636,123.83673,0,0,0,0,0,6,71,15,0,0,0,0,0,0,0,0,17,54,19,5,12,49,26,0,0,23,69,0,0,0,5,77,10,0
327,1999-03-01,35.81877,140.25781,0,0,0,0,0,0,42,48,2,0,0,0,0,0,0,7,54,23,8,0,12,63,17,0,0,12,66,14,0,0,15,66,9,2
329,1999-03-01,12.67306,124.09038,0,0,0,0,1,9,58,12,10,0,0,0,0,0,0,0,48,42,2,2,22,65,3,0,1,16,75,0,0,0,0,71,21,0
337,1999-03-01,9.5061,122.81908,0,0,0,0,0,2,75,14,1,0,0,0,0,0,0,0,51,39,2,2,8,64,18,0,0,27,65,0,0,0,1,83,8,0
339,1999-03-01,7.49715,122.07787,0,0,0,0,0,10,81,1,0,0,0,0,0,0,0,9,65,13,4,0,17,70,5,0,1,25,66,0,0,0,2,85,5,0
367,1999-03-01,36.04387,139.74905,0,0,0,0,0,0,57,22,13,0,0,0,0,0,0,7,54,25,6,0,12,68,12,0,1,21,56,14,0,0,15,66,9,2
372,1999-03-01,35.21725,138.81407,0,92,0,0,3,17,68,4,0,0,0,0,0,0,0,4,59,20,9,0,14,66,12,0,0,12,68,12,0,0,14,67,10,1
382,1999-03-01,36.88592,140.35582,0,92,0,0,0,8,72,12,0,0,0,0,0,0,0,2,50,37,3,0,12,63,17,0,0,19,57,16,0,0,15,65,11,1
444,1999-03-01,35.78761,138.32538,0,92,0,0,0,0,18,8,3,0,0,0,0,0,0,0,70,22,0,0,12,63,16,1,0,13,68,11,0,0,16,68,8,0
461,1999-03-01,38.42358,141.05695,0,81,11,0,0,7,75,10,0,0,0,0,0,0,0,3,56,23,10,0,13,61,18,0,0,23,52,17,0,0,15,60,16,1
511,1999-03-01,37.00134,138.93289,0,85,7,0,0,0,47,1,0,0,0,0,0,0,0,0,78,14,0,0,12,71,9,0,2,15,61,14,0,0,17,64,11,0
522,1999-03-01,35.13641,136.90338,0,0,0,0,0,3,78,10,1,0,0,0,0,0,0,5,60,27,0,0,12,65,15,0,0,16,64,12,0,0,15,67,10,0
